image_id,filepath,label,source_dataset,generator,generator_version,device_family,device_model,compression_status,compression_type,jpeg_quality_if_known,derived_from,split,provenance,license,sha256,dhash,ahash
e20_train_00001_clean,images/train/e20_train_00001_clean.png,Real,GRIP Unina (real_RAISE_1k),none,none,Nikon DSLR,Nikon D7000 / D90,uncompressed,clean,original,self,train,https://www.grip.unina.it/download/prog/DMimageDetection/real_RAISE_1k.zip,RAISE Dataset / Research Only,0a7c095cc54d4b45f29ae432d74ebdeebf0e28680da8442f903efbdfbad9b968,32333133b525b4b1,fbf8d8d8d1101040
e20_train_00001_resize_jpeg,images/train/e20_train_00001_resize_jpeg.jpg,Real,GRIP Unina (real_RAISE_1k),none,none,Nikon DSLR,Nikon D7000 / D90,synthetic_compression,resize_jpeg,80,e20_train_00001_clean,train,https://www.grip.unina.it/download/prog/DMimageDetection/real_RAISE_1k.zip | transform: resize_75pct_jpeg80,RAISE Dataset / Research Only,a2c57b6b75334a6f0cc0132adcee43dd8d74c76e5b37ec05412a5031f4e748e3,32333133b525b4b1,fbf8d8d8d1101040
e20_train_00001_moderate_jpeg,images/train/e20_train_00001_moderate_jpeg.jpg,Real,GRIP Unina (real_RAISE_1k),none,none,Nikon DSLR,Nikon D7000 / D90,synthetic_compression,moderate_jpeg,65,e20_train_00001_clean,train,https://www.grip.unina.it/download/prog/DMimageDetection/real_RAISE_1k.zip | transform: jpeg65_subsampling420,RAISE Dataset / Research Only,b6fec7dd8d1b1c8a0105cb179ac91dacde09713a6f5bc93e6d68ef558e510f2e,32333133b525b4b1,fbf8d8d8d1101040
e20_train_00001_severe_jpeg,images/train/e20_train_00001_severe_jpeg.jpg,Real,GRIP Unina (real_RAISE_1k),none,none,Nikon DSLR,Nikon D7000 / D90,synthetic_compression,severe_jpeg,40,e20_train_00001_clean,train,https://www.grip.unina.it/download/prog/DMimageDetection/real_RAISE_1k.zip | transform: jpeg40_subsampling420,RAISE Dataset / Research Only,a010940cf3550f532593743eff75691eca586485d7b40be9e8469900263dea57,32333133b565b4b1,fbf8d8d8d1101040
e20_train_00001_sequential_jpeg,images/train/e20_train_00001_sequential_jpeg.jpg,Real,GRIP Unina (real_RAISE_1k),none,none,Nikon DSLR,Nikon D7000 / D90,synthetic_compression,sequential_jpeg,60,e20_train_00001_clean,train,https://www.grip.unina.it/download/prog/DMimageDetection/real_RAISE_1k.zip | transform: sequential_jpeg85_jpeg60,RAISE Dataset / Research Only,5b37500c586909293fc1fcc186e530a1286ea7607f4206ee3a46399731da5088,32333133b525b4b1,fbf8d8d8d1101040
e20_train_00001_resize_jpeg_resize,images/train/e20_train_00001_resize_jpeg_resize.jpg,Real,GRIP Unina (real_RAISE_1k),none,none,Nikon DSLR,Nikon D7000 / D90,synthetic_compression,resize_jpeg_resize,75,e20_train_00001_clean,train,https://www.grip.unina.it/download/prog/DMimageDetection/real_RAISE_1k.zip | transform: downscale60_jpeg75_upscale,RAISE Dataset / Research Only,c42a429d54800224d582c9923e213467b099d47e00e8bb583aa4db18f8cf307e,32333133b525b4b1,fbf8d8d8d1101040
e20_train_00001_social_media_whatsapp,images/train/e20_train_00001_social_media_whatsapp.jpg,Real,GRIP Unina (real_RAISE_1k),none,none,Nikon DSLR,Nikon D7000 / D90,synthetic_compression,social_media_whatsapp,75,e20_train_00001_clean,train,https://www.grip.unina.it/download/prog/DMimageDetection/real_RAISE_1k.zip | transform: whatsapp_simulation_1280px_q75,RAISE Dataset / Research Only,586fbfdf897ca470d30eefd55f0abb3e49d5c61ae938a050e6383eb178626f42,32333133b525b4b1,fbf8d8d8d1101040
e20_train_00002_clean,images/train/e20_train_00002_clean.jpg,AI,data-is-better-together/open-image-preferences-v1,Stable Diffusion,SD-3.5 / SDXL,none,none,camera_original,clean,original,self,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_sd/5569.jpg,Apache 2.0,63d9189ebffa8aead7347a8a7a928d93c17613541a96a6f8788ad8ecd2aa2ae3,dcfc34b4e814366e,0e1e161e3c06823f
e20_train_00002_resize_jpeg,images/train/e20_train_00002_resize_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,Stable Diffusion,SD-3.5 / SDXL,none,none,synthetic_compression,resize_jpeg,80,e20_train_00002_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_sd/5569.jpg | transform: resize_75pct_jpeg80,Apache 2.0,0e9b193831b7ec3b36a9938cd540c6d20bcb15163dd9b0ccef4818001b219ba7,dcfc34b4f814366e,0e1e161e3c06823f
e20_train_00002_moderate_jpeg,images/train/e20_train_00002_moderate_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,Stable Diffusion,SD-3.5 / SDXL,none,none,synthetic_compression,moderate_jpeg,65,e20_train_00002_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_sd/5569.jpg | transform: jpeg65_subsampling420,Apache 2.0,afe7ccf6ffb93738ec2d555e755b69dcaec45003d809d95f67dc20663e21361f,dcfc34b4e814366e,0e1e161e3c06823f
e20_train_00002_severe_jpeg,images/train/e20_train_00002_severe_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,Stable Diffusion,SD-3.5 / SDXL,none,none,synthetic_compression,severe_jpeg,40,e20_train_00002_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_sd/5569.jpg | transform: jpeg40_subsampling420,Apache 2.0,e96c9e5ad22ffa3dee15b2343c7d7c146b713cb1896225bd0da5a9d97bf53350,dcfc34b4e814366e,0e1e161e3c06823f
e20_train_00002_sequential_jpeg,images/train/e20_train_00002_sequential_jpeg.jpg,AI,data-is-better-together/open-image-preferences-v1,Stable Diffusion,SD-3.5 / SDXL,none,none,synthetic_compression,sequential_jpeg,60,e20_train_00002_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_sd/5569.jpg | transform: sequential_jpeg85_jpeg60,Apache 2.0,cf6d632d92efff4e43c89e2c8e410aa5d50784a4994f048d358a6eda37042728,dcfc34b4e814366e,0e1e161e3c06823f
e20_train_00002_resize_jpeg_resize,images/train/e20_train_00002_resize_jpeg_resize.jpg,AI,data-is-better-together/open-image-preferences-v1,Stable Diffusion,SD-3.5 / SDXL,none,none,synthetic_compression,resize_jpeg_resize,75,e20_train_00002_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_sd/5569.jpg | transform: downscale60_jpeg75_upscale,Apache 2.0,964338c1f36acea85e4beccfe316faf27338eef073e4aa5338f3d39cbc05f211,dcfc34b4e814366e,0e1e161e3c06823f
e20_train_00002_social_media_whatsapp,images/train/e20_train_00002_social_media_whatsapp.jpg,AI,data-is-better-together/open-image-preferences-v1,Stable Diffusion,SD-3.5 / SDXL,none,none,synthetic_compression,social_media_whatsapp,75,e20_train_00002_clean,train,https://huggingface.co/datasets/data-is-better-together/open-image-preferences-v1/resolve/main/image_quality_sd/5569.jpg | transform: whatsapp_simulation_1280px_q75,Apache 2.0,432e1a146a704bd23c6aa2db9cf732468573cd4d25ff0c1296ea021e01ae4659,dcfc34b4e814366e,0e1e161e3c06823f
e20_train_00003_clean,images/train/e20_train_00003_clean.png,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,uncompressed,clean,original,self,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip,Academic Research Use / rawir,adc83453766b49e1087a019c02a7a1ec25459c3201a9a4a7f95524c8b1e24ec1,66626a72b2ba7a70,363e3e1e1e1f0f1e
e20_train_00003_resize_jpeg,images/train/e20_train_00003_resize_jpeg.jpg,Real,marcosv/rawir (iphonex-samsungs9),none,none,Samsung Galaxy,Galaxy S9,synthetic_compression,resize_jpeg,80,e20_train_00003_clean,train,https://huggingface.co/datasets/marcosv/rawir/resolve/main/iphonex-samsungs9.zip | transform: resize_75pct_jpeg80,Academic Research Use / rawir,db9e663aeaf2c4a2181d452ddd1a8787e70ef2f02fea58f25c22e369774a2c35,66626a72b2ba7a70,363e3e1e1e1f0f1e
