image_id,original_image_id,split,filepath,label,source_dataset,generator,generator_version,device_family,device_model,variant_type,compression_status,jpeg_quality_if_known,width,height,format,file_size_bytes,sha256,perceptual_hash,provenance,license
e21_train_ai_0002_clean,e21_train_ai_0002,train,images/train/e21_train_ai_0002_clean.png,AI,Synthbuster (Zenodo 10066460),Stable Diffusion 1.3,stable-diffusion-1-3,none,none,clean,uncompressed,original,512,512,PNG,488581,cc74d1f1c34b0aa44d17641de7ee639ead7ecc1842a6353ede4c8ce29589ea68,dhash:f9d9d9a7bbb99a9b;ahash:7f291f73087f090b,synthbuster/synthbuster/stable-diffusion-1-3/r18d72ab2t.png,CC BY-NC-SA 4.0 (Quentin Bammey / Centre Borelli)
e21_train_ai_0002_resize_jpeg,e21_train_ai_0002,train,images/train/e21_train_ai_0002_resize_jpeg.jpg,AI,Synthbuster (Zenodo 10066460),Stable Diffusion 1.3,stable-diffusion-1-3,none,none,resize_jpeg,resize_75pct_jpeg80,80,384,384,JPEG,34023,25466e40f82e8f473f0f0ace8414e704d671bc9ba9cec4a3b9b6f5ec6ae4c92f,dhash:f9d9d9a7bbb99a9b;ahash:7f291d73087f090b,synthbuster/synthbuster/stable-diffusion-1-3/r18d72ab2t.png,CC BY-NC-SA 4.0 (Quentin Bammey / Centre Borelli)
e21_train_ai_0002_moderate_jpeg,e21_train_ai_0002,train,images/train/e21_train_ai_0002_moderate_jpeg.jpg,AI,Synthbuster (Zenodo 10066460),Stable Diffusion 1.3,stable-diffusion-1-3,none,none,moderate_jpeg,jpeg65_subsampling420,65,512,512,JPEG,45341,82b15cbfe049b0d60531f6b6de03d0f9684f102f535d53998d7b549d6c32f1cc,dhash:f9d9d9a7bbb99a9b;ahash:7f291f73087f090b,synthbuster/synthbuster/stable-diffusion-1-3/r18d72ab2t.png,CC BY-NC-SA 4.0 (Quentin Bammey / Centre Borelli)
e21_train_ai_0002_severe_jpeg,e21_train_ai_0002,train,images/train/e21_train_ai_0002_severe_jpeg.jpg,AI,Synthbuster (Zenodo 10066460),Stable Diffusion 1.3,stable-diffusion-1-3,none,none,severe_jpeg,jpeg40_subsampling420,40,512,512,JPEG,31251,5692ae4d9f2bb96ac5cd37adc2abb1a9de965e1bf6bb95e146a7f3586731e652,dhash:f9d9d9a7bbb99a9b;ahash:7f291d73087f090b,synthbuster/synthbuster/stable-diffusion-1-3/r18d72ab2t.png,CC BY-NC-SA 4.0 (Quentin Bammey / Centre Borelli)
e21_train_ai_0002_sequential_jpeg,e21_train_ai_0002,train,images/train/e21_train_ai_0002_sequential_jpeg.jpg,AI,Synthbuster (Zenodo 10066460),Stable Diffusion 1.3,stable-diffusion-1-3,none,none,sequential_jpeg,sequential_jpeg85_jpeg60,60,512,512,JPEG,39967,26a761e2147dad3418bd9f40c50f1c6dc00dea08b816b564b3af0fd01cbe20f6,dhash:f9d9d9a7bbb99a9b;ahash:7f291f73087f090b,synthbuster/synthbuster/stable-diffusion-1-3/r18d72ab2t.png,CC BY-NC-SA 4.0 (Quentin Bammey / Centre Borelli)
e21_train_ai_0002_resize_jpeg_resize,e21_train_ai_0002,train,images/train/e21_train_ai_0002_resize_jpeg_resize.jpg,AI,Synthbuster (Zenodo 10066460),Stable Diffusion 1.3,stable-diffusion-1-3,none,none,resize_jpeg_resize,downscale60_jpeg75_upscale,75,512,512,JPEG,49109,0c1ebb4a1236e82cf3d05b49a82f985471b1c794dcedf759aac38e2d203346ed,dhash:f9d9d9a7bbb99a9b;ahash:7f291f73087f090b,synthbuster/synthbuster/stable-diffusion-1-3/r18d72ab2t.png,CC BY-NC-SA 4.0 (Quentin Bammey / Centre Borelli)
e21_train_ai_0002_social_media_whatsapp,e21_train_ai_0002,train,images/train/e21_train_ai_0002_social_media_whatsapp.jpg,AI,Synthbuster (Zenodo 10066460),Stable Diffusion 1.3,stable-diffusion-1-3,none,none,social_media_whatsapp,whatsapp_simulation_1280px_q75,75,512,512,JPEG,55152,ba63fd1e2cab9fce38bfd07bedcf510f999e3e5db4541f3d5b3e4c625b93b42b,dhash:f9d9d9a7bbb99a9b;ahash:7f291d73087f090b,synthbuster/synthbuster/stable-diffusion-1-3/r18d72ab2t.png,CC BY-NC-SA 4.0 (Quentin Bammey / Centre Borelli)
e21_train_ai_0006_clean,e21_train_ai_0006,train,images/train/e21_train_ai_0006_clean.png,AI,Synthbuster (Zenodo 10066460),Stable Diffusion 1.4,stable-diffusion-1-4,none,none,clean,uncompressed,original,512,512,PNG,506349,ea951c6ff43056061a12eb090caabfee5f69a3f72c28298ec18e327d6afac022,dhash:d9c9d3cddddd9c3c;ahash:7878716d0f070606,synthbuster/synthbuster/stable-diffusion-1-4/r03d2a758t.png,CC BY-NC-SA 4.0 (Quentin Bammey / Centre Borelli)
e21_train_ai_0006_resize_jpeg,e21_train_ai_0006,train,images/train/e21_train_ai_0006_resize_jpeg.jpg,AI,Synthbuster (Zenodo 10066460),Stable Diffusion 1.4,stable-diffusion-1-4,none,none,resize_jpeg,resize_75pct_jpeg80,80,384,384,JPEG,33663,13e4419f46c92b93ad41dbb88d11a4fdcbd51fdb65badc711e0f5825c47961b7,dhash:d9c9d3cddddd9c3c;ahash:7878716d0f070606,synthbuster/synthbuster/stable-diffusion-1-4/r03d2a758t.png,CC BY-NC-SA 4.0 (Quentin Bammey / Centre Borelli)
e21_train_ai_0006_moderate_jpeg,e21_train_ai_0006,train,images/train/e21_train_ai_0006_moderate_jpeg.jpg,AI,Synthbuster (Zenodo 10066460),Stable Diffusion 1.4,stable-diffusion-1-4,none,none,moderate_jpeg,jpeg65_subsampling420,65,512,512,JPEG,45354,c4e2303c251f88fb4bf88c1772f46124e11036bb1a8a9eb4d3e62e46eea848e2,dhash:d9c9d3cddddd9c3c;ahash:7878716d0f070606,synthbuster/synthbuster/stable-diffusion-1-4/r03d2a758t.png,CC BY-NC-SA 4.0 (Quentin Bammey / Centre Borelli)
