filename,ground_truth,error_type,error_reason,e6c_prob,e6c_global_prob,e6c_strongest_local_prob,local_global_discrepancy,e8b_prob,jpeg_quality_est,blockiness_score,native_hf_energy,laplacian_var,width,height
WhatsApp Image 2026-09-17 at 3.38.18 PM (1).jpeg,REAL,Dual_Real_FP,"Both models falsely triggered on Real image (E6C=0.5367, E8B=0.6600)",0.5367,0.0108,0.8095,0.7987,0.66,75.0,1.0788999795913696,0.011517,2190.88,648,1280
WhatsApp Image 2026-09-17 at 3.38.18 PM (2).jpeg,REAL,Correct,Both models correct,0.0248,0.0301,0.0659,0.0358,0.3929,75.0,1.452299952507019,0.000499,104.36,720,1280
WhatsApp Image 2026-09-17 at 3.38.18 PM.jpeg,REAL,Correct,Both models correct,0.0,0.0,0.0006,0.0006,0.0008,75.0,1.1971999406814575,0.004224,841.24,582,776
WhatsApp Image 2026-09-17 at 3.38.19 PM (1).jpeg,REAL,Correct,Both models correct,0.0463,0.0248,0.2501,0.2253,0.1343,75.0,1.104200005531311,0.009278,1855.42,960,1280
WhatsApp Image 2026-09-17 at 3.38.19 PM (2).jpeg,REAL,Correct,Both models correct,0.0095,0.0109,0.053,0.0421,0.0282,75.0,1.4253000020980835,0.000655,84.07,778,1038
WhatsApp Image 2026-09-17 at 3.38.19 PM.jpeg,REAL,Correct,Both models correct,0.0002,0.0002,0.004,0.0038,0.017,75.0,0.6452999711036682,0.001526,440.15,384,780
WhatsApp Image 2026-09-17 at 3.38.21 PM (1).jpeg,REAL,Correct,Both models correct,0.006,0.0452,0.0893,0.0441,0.0652,75.0,1.2288999557495117,0.002964,537.15,960,1280
WhatsApp Image 2026-09-17 at 3.38.21 PM (2).jpeg,REAL,Correct,Both models correct,0.0542,0.2333,0.0861,-0.1472,0.2893,75.0,1.5499999523162842,0.000515,50.63,904,1280
WhatsApp Image 2026-09-17 at 3.38.21 PM.jpeg,REAL,Correct,Both models correct,0.0054,0.0057,0.0453,0.0396,0.0051,75.0,1.3034000396728516,0.001757,282.37,960,1280
WhatsApp Image 2026-09-17 at 3.38.22 PM (1).jpeg,REAL,E8B_Real_FP_Induced,"E8-B over-sensitized by compression training (E6C=0.3354, E8B=0.5204)",0.3354,0.6901,0.8748,0.1847,0.5204,75.0,1.4284000396728516,0.000577,92.78,978,1280
WhatsApp Image 2026-09-17 at 3.38.22 PM (2).jpeg,REAL,Correct,Both models correct,0.0001,0.0,0.0042,0.0042,0.0036,75.0,1.4574999809265137,0.001234,131.08,960,1280
WhatsApp Image 2026-09-17 at 3.38.22 PM (3).jpeg,REAL,Correct,Both models correct,0.1817,0.6026,0.2362,-0.3664,0.4866,75.0,1.3560999631881714,0.001357,204.83,960,1280
