filename,ground_truth,native_lf_energy,native_mf_energy,native_hf_energy,native_uhf_energy,native_hf_lf_ratio,native_spectral_centroid,native_rolloff_85,downsampled_hf_energy,downsampled_hf_lf_ratio,downsampled_spectral_centroid,hf_energy_change_pct
WhatsApp Image 2026-09-17 at 3.38.18 PM (1).jpeg,REAL,0.914721,0.073762,0.011517,0.002411,0.012591,0.0792,0.1796,0.04177,0.049861,0.1139,262.68
WhatsApp Image 2026-09-17 at 3.38.18 PM (2).jpeg,REAL,0.995997,0.003504,0.000499,0.000117,0.000501,0.0104,0.0126,0.003306,0.003374,0.0326,562.53
WhatsApp Image 2026-09-17 at 3.38.18 PM.jpeg,REAL,0.984953,0.010822,0.004224,0.001006,0.004289,0.0157,0.0103,0.003752,0.003816,0.0235,-11.17
WhatsApp Image 2026-09-17 at 3.38.19 PM (1).jpeg,REAL,0.942046,0.048676,0.009278,0.0011,0.009848,0.0405,0.055,0.009819,0.010225,0.0453,5.83
WhatsApp Image 2026-09-17 at 3.38.19 PM (2).jpeg,REAL,0.996765,0.002581,0.000655,0.000142,0.000657,0.0088,0.0108,0.002585,0.002623,0.0258,294.66
WhatsApp Image 2026-09-17 at 3.38.19 PM.jpeg,REAL,0.994035,0.004439,0.001526,0.000682,0.001535,0.0131,0.0161,0.001704,0.001722,0.0265,11.66
WhatsApp Image 2026-09-17 at 3.38.21 PM (1).jpeg,REAL,0.982007,0.015029,0.002964,0.000463,0.003018,0.0194,0.0187,0.006506,0.006713,0.0376,119.5
WhatsApp Image 2026-09-17 at 3.38.21 PM (2).jpeg,REAL,0.996176,0.003309,0.000515,0.000133,0.000517,0.0108,0.0131,0.003569,0.003649,0.0351,593.01
WhatsApp Image 2026-09-17 at 3.38.21 PM.jpeg,REAL,0.990268,0.007975,0.001757,0.000318,0.001774,0.0157,0.0168,0.005572,0.005745,0.0399,217.13
WhatsApp Image 2026-09-17 at 3.38.22 PM (1).jpeg,REAL,0.993595,0.005828,0.000577,0.000103,0.000581,0.0156,0.022,0.005577,0.005779,0.0456,866.55
WhatsApp Image 2026-09-17 at 3.38.22 PM (2).jpeg,REAL,0.995382,0.003384,0.001234,0.00028,0.00124,0.0087,0.0088,0.002927,0.002977,0.027,137.2
