case_id,ground_truth,transformation_stage,width,height,approx_size_kb,hf_energy,hf_lf_ratio,laplacian_var,edge_density,blockiness_score,e6c_prob,e6c_global_prob,e6c_strongest_local_prob,e6c_pred,e8b_prob,e8b_global_prob,e8b_strongest_local_prob,e8b_pred
original_ai_edit,AI,A_Original,941,1672,2168.43,0.002212,0.002235,375.2,33.97,0.9980999827384949,0.8608,0.8572,0.9589,AI,0.2697,0.0574,0.6639,REAL
original_ai_edit,AI,B_Resize_1280,720,1280,1200.18,0.001695,0.001708,260.83,34.32,1.0068000555038452,0.8679,0.8671,0.9672,AI,0.3404,0.0817,0.8545,REAL
original_ai_edit,AI,C_JPEG_Q75,941,1672,165.62,0.002108,0.002129,362.33,33.98,1.3015999794006348,0.0263,0.0142,0.1863,REAL,0.0736,0.0162,0.785,REAL
original_ai_edit,AI,D_Down720_Up,941,1672,1160.41,0.000481,0.000481,15.93,21.08,1.0053000450134277,0.8984,0.8938,0.9798,AI,0.6681,0.193,0.9413,AI
original_ai_edit,AI,E_Resize1280_JPEG75,720,1280,96.46,0.001592,0.001605,246.55,34.26,1.3479000329971313,0.0386,0.0424,0.2095,REAL,0.097,0.035,0.6942,REAL
original_ai_edit,AI,F_Down720_JPEG75,405,720,36.42,0.002489,0.002516,340.44,43.72,1.27839994430542,0.0019,0.0013,0.0058,REAL,0.1374,0.0701,0.6407,REAL
original_ai_edit,AI,G_Down720_DualJPEG,405,720,36.49,0.002991,0.003028,427.65,45.39,1.2144999504089355,0.0002,0.0001,0.0009,REAL,0.0509,0.0188,0.3207,REAL
whatsapp_download,REAL,A_Original,900,1600,1308.15,0.001805,0.001822,305.19,33.74,1.2645000219345093,0.1117,0.0551,0.7553,REAL,0.0621,0.0196,0.401,REAL
whatsapp_download,REAL,B_Resize_1280,720,1280,897.11,0.001418,0.001429,214.59,33.91,1.0492000579833984,0.1274,0.0452,0.7845,REAL,0.0806,0.0195,0.6224,REAL
whatsapp_download,REAL,C_JPEG_Q75,900,1600,164.37,0.002349,0.002374,394.7,35.71,1.1890000104904175,0.0105,0.0025,0.081,REAL,0.031,0.007,0.331,REAL
whatsapp_download,REAL,D_Down720_Up,900,1600,959.49,0.000506,0.000507,17.41,21.81,1.028499960899353,0.1598,0.1061,0.7755,REAL,0.2831,0.0664,0.8694,REAL
whatsapp_download,REAL,E_Resize1280_JPEG75,720,1280,95.89,0.001384,0.001394,211.92,34.08,1.3818999528884888,0.0068,0.0014,0.048,REAL,0.0438,0.0122,0.4158,REAL
whatsapp_download,REAL,F_Down720_JPEG75,405,720,36.41,0.002397,0.002422,324.74,43.69,1.2726000547409058,0.001,0.0003,0.0102,REAL,0.0846,0.0529,0.6012,REAL
whatsapp_download,REAL,G_Down720_DualJPEG,405,720,36.48,0.002865,0.0029,406.7,45.38,1.207800030708313,0.0002,0.0,0.0019,REAL,0.0303,0.0124,0.3629,REAL
