filename,ground_truth,format,width,height,aspect_ratio,orientation,file_size_kb,color_mode,channels,jpeg_quality_est,jpeg_mean_quant_step,chroma_subsampling,has_exif,exif_orientation,has_icc,blockiness_score
WhatsApp Image 2026-09-17 at 3.38.18 PM (1).jpeg,REAL,JPEG,648,1280,0.5062,Portrait,204.5,RGB,3,75.0,29.03,4:2:0,False,1,False,1.0788999795913696
WhatsApp Image 2026-09-17 at 3.38.18 PM (2).jpeg,REAL,JPEG,720,1280,0.5625,Portrait,68.75,RGB,3,75.0,29.03,4:2:0,False,1,False,1.452299952507019
WhatsApp Image 2026-09-17 at 3.38.18 PM.jpeg,REAL,JPEG,582,776,0.75,Portrait,52.78,RGB,3,75.0,29.03,4:2:0,False,1,False,1.1971999406814575
WhatsApp Image 2026-09-17 at 3.38.19 PM (1).jpeg,REAL,JPEG,960,1280,0.75,Portrait,278.49,RGB,3,75.0,29.03,4:2:0,False,1,False,1.104200005531311
WhatsApp Image 2026-09-17 at 3.38.19 PM (2).jpeg,REAL,JPEG,778,1038,0.7495,Portrait,67.23,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4253000020980835
WhatsApp Image 2026-09-17 at 3.38.19 PM.jpeg,REAL,JPEG,384,780,0.4923,Portrait,20.65,RGB,3,75.0,29.03,4:2:0,False,1,False,0.6452999711036682
WhatsApp Image 2026-09-17 at 3.38.21 PM (1).jpeg,REAL,JPEG,960,1280,0.75,Portrait,173.79,RGB,3,75.0,29.03,4:2:0,False,1,False,1.2288999557495117
WhatsApp Image 2026-09-17 at 3.38.21 PM (2).jpeg,REAL,JPEG,904,1280,0.7063,Portrait,91.53,RGB,3,75.0,29.03,4:2:0,False,1,False,1.5499999523162842
WhatsApp Image 2026-09-17 at 3.38.21 PM.jpeg,REAL,JPEG,960,1280,0.75,Portrait,149.22,RGB,3,75.0,29.03,4:2:0,False,1,False,1.3034000396728516
WhatsApp Image 2026-09-17 at 3.38.22 PM (1).jpeg,REAL,JPEG,978,1280,0.7641,Portrait,124.37,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4284000396728516
WhatsApp Image 2026-09-17 at 3.38.22 PM (2).jpeg,REAL,JPEG,960,1280,0.75,Portrait,86.68,RGB,3,75.0,29.03,4:2:0,False,1,False,1.4574999809265137
WhatsApp Image 2026-09-17 at 3.38.22 PM (3).jpeg,REAL,JPEG,960,1280,0.75,Portrait,118.84,RGB,3,75.0,29.03,4:2:0,False,1,False,1.3560999631881714
WhatsApp Image 2026-09-17 at 3.38.22 PM.jpeg,REAL,JPEG,1042,1280,0.8141,Portrait,154.93,RGB,3,75.0,29.03,4:2:0,False,1,False,1.3698999881744385
WhatsApp Image 2026-09-17 at 3.40.06 PM (1).jpeg,REAL,JPEG,1280,960,1.3333,Landscape,90.0,RGB,3,75.0,29.03,4:2:0,False,1,False,1.6758999824523926
WhatsApp Image 2026-09-17 at 3.40.06 PM.jpeg,REAL,JPEG,596,1280,0.4656,Portrait,68.75,RGB,3,75.0,29.03,4:2:0,False,1,False,1.2608000040054321
WhatsApp Image 2026-09-17 at 3.44.10 PM (1).jpeg,REAL,JPEG,960,1280,0.75,Portrait,111.7,RGB,3,75.0,29.03,4:2:0,False,1,False,1.502500057220459
WhatsApp Image 2026-09-17 at 3.44.10 PM (2).jpeg,REAL,JPEG,960,1280,0.75,Portrait,67.41,RGB,3,75.0,29.03,4:2:0,False,1,False,1.8553999662399292
WhatsApp Image 2026-09-17 at 3.44.10 PM (3).jpeg,REAL,JPEG,960,1280,0.75,Portrait,185.18,RGB,3,75.0,29.03,4:2:0,False,1,False,1.2898000478744507
WhatsApp Image 2026-09-17 at 3.44.10 PM (4).jpeg,REAL,JPEG,960,1280,0.75,Portrait,151.49,RGB,3,75.0,29.03,4:2:0,False,1,False,1.31850004196167
WhatsApp Image 2026-09-17 at 3.44.10 PM (7).jpeg,REAL,JPEG,720,1280,0.5625,Portrait,55.63,RGB,3,75.0,29.03,4:2:0,False,1,False,1.575700044631958
WhatsApp Image 2026-09-17 at 3.44.11 PM (1).jpeg,REAL,JPEG,720,1280,0.5625,Portrait,198.84,RGB,3,75.0,29.03,4:2:0,False,1,False,1.0748000144958496
