filename,ground_truth,width,height,file_size_kb,jpeg_quality_est,blockiness_score,native_hf_energy,e6c_prob,e6c_global_prob,e6c_strongest_local_prob,e6c_pred,e6c_correct,e8b_prob,e8b_global_prob,e8b_strongest_local_prob,e8b_pred,e8b_correct
WhatsApp Image 2026-09-17 at 3.38.18 PM (1).jpeg,REAL,648,1280,204.5,75.0,1.0788999795913696,0.011517,0.5367,0.0108,0.8095,AI,0,0.66,0.0766,0.9476,AI,0
WhatsApp Image 2026-09-17 at 3.38.18 PM (2).jpeg,REAL,720,1280,68.75,75.0,1.452299952507019,0.000499,0.0248,0.0301,0.0659,REAL,1,0.3929,0.2598,0.6284,REAL,1
WhatsApp Image 2026-09-17 at 3.38.18 PM.jpeg,REAL,582,776,52.78,75.0,1.1971999406814575,0.004224,0.0,0.0,0.0006,REAL,1,0.0008,0.0005,0.047,REAL,1
WhatsApp Image 2026-09-17 at 3.38.19 PM (1).jpeg,REAL,960,1280,278.49,75.0,1.104200005531311,0.009278,0.0463,0.0248,0.2501,REAL,1,0.1343,0.0188,0.5077,REAL,1
WhatsApp Image 2026-09-17 at 3.38.19 PM (2).jpeg,REAL,778,1038,67.23,75.0,1.4253000020980835,0.000655,0.0095,0.0109,0.053,REAL,1,0.0282,0.0181,0.2447,REAL,1
WhatsApp Image 2026-09-17 at 3.38.19 PM.jpeg,REAL,384,780,20.65,75.0,0.6452999711036682,0.001526,0.0002,0.0002,0.004,REAL,1,0.017,0.0197,0.361,REAL,1
WhatsApp Image 2026-09-17 at 3.38.21 PM (1).jpeg,REAL,960,1280,173.79,75.0,1.2288999557495117,0.002964,0.006,0.0452,0.0893,REAL,1,0.0652,0.463,0.9074,REAL,1
WhatsApp Image 2026-09-17 at 3.38.21 PM (2).jpeg,REAL,904,1280,91.53,75.0,1.5499999523162842,0.000515,0.0542,0.2333,0.0861,REAL,1,0.2893,0.4838,0.8091,REAL,1
WhatsApp Image 2026-09-17 at 3.38.21 PM.jpeg,REAL,960,1280,149.22,75.0,1.3034000396728516,0.001757,0.0054,0.0057,0.0453,REAL,1,0.0051,0.0006,0.0996,REAL,1
WhatsApp Image 2026-09-17 at 3.38.22 PM (1).jpeg,REAL,978,1280,124.37,75.0,1.4284000396728516,0.000577,0.3354,0.6901,0.8748,REAL,1,0.5204,0.7193,0.937,AI,0
WhatsApp Image 2026-09-17 at 3.38.22 PM (2).jpeg,REAL,960,1280,86.68,75.0,1.4574999809265137,0.001234,0.0001,0.0,0.0042,REAL,1,0.0036,0.0002,0.1633,REAL,1
WhatsApp Image 2026-09-17 at 3.38.22 PM (3).jpeg,REAL,960,1280,118.84,75.0,1.3560999631881714,0.001357,0.1817,0.6026,0.2362,REAL,1,0.4866,0.5793,0.8605,REAL,1
WhatsApp Image 2026-09-17 at 3.38.22 PM.jpeg,REAL,1042,1280,154.93,75.0,1.3698999881744385,0.000559,0.0706,0.0066,0.7106,REAL,1,0.3058,0.0525,0.6796,REAL,1
WhatsApp Image 2026-09-17 at 3.40.06 PM (1).jpeg,REAL,1280,960,90.0,75.0,1.6758999824523926,0.000698,0.0328,0.0312,0.449,REAL,1,0.4134,0.2726,0.799,REAL,1
WhatsApp Image 2026-09-17 at 3.40.06 PM.jpeg,REAL,596,1280,68.75,75.0,1.2608000040054321,0.002097,0.013,0.0098,0.0417,REAL,1,0.0096,0.0014,0.1231,REAL,1
WhatsApp Image 2026-09-17 at 3.44.10 PM (1).jpeg,REAL,960,1280,111.7,75.0,1.502500057220459,0.0014,0.0141,0.0047,0.0844,REAL,1,0.7441,0.5533,0.9187,AI,0
WhatsApp Image 2026-09-17 at 3.44.10 PM (2).jpeg,REAL,960,1280,67.41,75.0,1.8553999662399292,0.001341,0.0038,0.126,0.0048,REAL,1,0.1114,0.6386,0.7652,REAL,1
WhatsApp Image 2026-09-17 at 3.44.10 PM (3).jpeg,REAL,960,1280,185.18,75.0,1.2898000478744507,0.003148,0.0471,0.1435,0.2177,REAL,1,0.72,0.9409,0.8999,AI,0
