threshold,tp,fp,tn,fn,accuracy,precision,recall,f1,fpr,fnr,specificity
0.2,2782,171,2763,59,0.9602,0.9421,0.9792,0.9603,0.0583,0.0208,0.9417
0.25,2774,152,2782,67,0.9621,0.9481,0.9764,0.962,0.0518,0.0236,0.9482
0.3,2768,144,2790,73,0.9624,0.9505,0.9743,0.9623,0.0491,0.0257,0.9509
0.35,2761,128,2806,80,0.964,0.9557,0.9718,0.9637,0.0436,0.0282,0.9564
0.4,2753,120,2814,88,0.964,0.9582,0.969,0.9636,0.0409,0.031,0.9591
0.45,2750,103,2831,91,0.9664,0.9639,0.968,0.9659,0.0351,0.032,0.9649
0.5,2742,96,2838,99,0.9662,0.9662,0.9652,0.9657,0.0327,0.0348,0.9673
0.55,2739,89,2845,102,0.9669,0.9685,0.9641,0.9663,0.0303,0.0359,0.9697
0.6,2721,86,2848,120,0.9643,0.9694,0.9578,0.9635,0.0293,0.0422,0.9707
0.65,2706,80,2854,135,0.9628,0.9713,0.9525,0.9618,0.0273,0.0475,0.9727
0.7,2689,70,2864,152,0.9616,0.9746,0.9465,0.9604,0.0239,0.0535,0.9761
0.75,2672,61,2873,169,0.9602,0.9777,0.9405,0.9587,0.0208,0.0595,0.9792
0.8,2651,56,2878,190,0.9574,0.9793,0.9331,0.9557,0.0191,0.0669,0.9809
