threshold,original_ai_edit_prob,original_ai_edit_decision,original_ai_edit_correct,whatsapp_download_prob,whatsapp_download_decision,whatsapp_download_correct
0.2,0.8886,AI,True,0.0555,REAL,True
0.25,0.8886,AI,True,0.0555,REAL,True
0.3,0.8886,AI,True,0.0555,REAL,True
0.35,0.8886,AI,True,0.0555,REAL,True
0.4,0.8886,AI,True,0.0555,REAL,True
0.45,0.8886,AI,True,0.0555,REAL,True
0.5,0.8886,AI,True,0.0555,REAL,True
0.55,0.8886,AI,True,0.0555,REAL,True
0.6,0.8886,AI,True,0.0555,REAL,True
0.65,0.8886,AI,True,0.0555,REAL,True
0.7,0.8886,AI,True,0.0555,REAL,True
0.75,0.8886,AI,True,0.0555,REAL,True
0.8,0.8886,AI,True,0.0555,REAL,True
