operating_point_name,threshold,accuracy,roc_auc,pr_auc,precision,recall,f1,fpr,fnr,specificity,tp,tn,fp,fn
Candidate C (High-Sensitivity: E5 FPR <= 7.5%),0.2,0.6418,0.7001,0.7519,0.6667,0.5455,0.6,0.2647,0.4545,0.7353,18,25,9,15
Threshold 0.25,0.25,0.6269,0.7001,0.7519,0.6538,0.5152,0.5763,0.2647,0.4848,0.7353,17,25,9,16
Candidate B (Moderate Trade-Off: E5 FPR <= 5%),0.3,0.6269,0.7001,0.7519,0.6538,0.5152,0.5763,0.2647,0.4848,0.7353,17,25,9,16
Threshold 0.35,0.35,0.6119,0.7001,0.7519,0.6522,0.4545,0.5357,0.2353,0.5455,0.7647,15,26,8,18
Threshold 0.40,0.4,0.597,0.7001,0.7519,0.6364,0.4242,0.5091,0.2353,0.5758,0.7647,14,26,8,19
Threshold 0.45,0.45,0.6119,0.7001,0.7519,0.6667,0.4242,0.5185,0.2059,0.5758,0.7941,14,27,7,19
Standard Default Operating Point (0.50),0.5,0.6269,0.7001,0.7519,0.7,0.4242,0.5283,0.1765,0.5758,0.8235,14,28,6,19
Candidate D (E5 Maximum F1-Score),0.55,0.6119,0.7001,0.7519,0.6842,0.3939,0.5,0.1765,0.6061,0.8235,13,28,6,20
Candidate A (Strict Conservative: E5 FPR <= 3%),0.6,0.6269,0.7001,0.7519,0.7222,0.3939,0.5098,0.1471,0.6061,0.8529,13,29,5,20
Threshold 0.65,0.65,0.6269,0.7001,0.7519,0.75,0.3636,0.4898,0.1176,0.6364,0.8824,12,30,4,21
Threshold 0.70,0.7,0.6418,0.7001,0.7519,0.8,0.3636,0.5,0.0882,0.6364,0.9118,12,31,3,21
Threshold 0.75,0.75,0.6567,0.7001,0.7519,0.8571,0.3636,0.5106,0.0588,0.6364,0.9412,12,32,2,21
Threshold 0.80,0.8,0.6866,0.7001,0.7519,1.0,0.3636,0.5333,0.0,0.6364,1.0,12,34,0,21
