filename,ground_truth,e6c_prob,e10b_prob,e12a_prob,e12b_prob,e6c_pred,e10b_pred,e12a_pred,e12b_pred,flip_vs_e6c,flip_vs_e10b,flip_vs_e12a
WhatsApp Image 2026-09-17 at 3.38.18 PM (1).jpeg,REAL,0.5367,0.0745,0.0133,0.751,AI,REAL,REAL,AI,False,True,True
WhatsApp Image 2026-09-17 at 3.38.18 PM (2).jpeg,REAL,0.0248,0.0318,0.0512,0.0002,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.38.18 PM.jpeg,REAL,0.0,0.0,0.0,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.38.19 PM (1).jpeg,REAL,0.0463,0.0553,0.0052,0.0091,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.38.19 PM (2).jpeg,REAL,0.0095,0.0063,0.0016,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.38.19 PM.jpeg,REAL,0.0002,0.0001,0.0,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.38.21 PM (1).jpeg,REAL,0.006,0.0024,0.0001,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.38.21 PM (2).jpeg,REAL,0.0542,0.0834,0.062,0.0107,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.38.21 PM.jpeg,REAL,0.0054,0.0004,0.0,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.38.22 PM (1).jpeg,REAL,0.3354,0.7522,0.6807,0.8301,REAL,AI,AI,AI,True,False,False
WhatsApp Image 2026-09-17 at 3.38.22 PM (2).jpeg,REAL,0.0001,0.0,0.0,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.38.22 PM (3).jpeg,REAL,0.1817,0.4992,0.2035,0.2216,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.38.22 PM.jpeg,REAL,0.0706,0.0714,0.0935,0.0074,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.40.06 PM (1).jpeg,REAL,0.0328,0.7493,0.6914,0.0073,REAL,AI,AI,REAL,False,True,True
WhatsApp Image 2026-09-17 at 3.40.06 PM.jpeg,REAL,0.013,0.0053,0.0006,0.0001,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.10 PM (1).jpeg,REAL,0.0141,0.1237,0.0206,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.10 PM (2).jpeg,REAL,0.0038,0.0244,0.003,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.10 PM (3).jpeg,REAL,0.0471,0.0466,0.108,0.0103,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.10 PM (4).jpeg,REAL,0.0453,0.4211,0.6841,0.0205,REAL,REAL,AI,REAL,False,False,True
WhatsApp Image 2026-09-17 at 3.44.10 PM (7).jpeg,REAL,0.0005,0.0065,0.0012,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (1).jpeg,REAL,0.0439,0.0218,0.006,0.0111,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (10).jpeg,REAL,0.3169,0.1113,0.085,0.2303,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (11).jpeg,REAL,0.0626,0.5697,0.4438,0.0276,REAL,AI,REAL,REAL,False,True,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (12).jpeg,REAL,0.4119,0.6577,0.8345,0.9189,REAL,AI,AI,AI,True,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (13).jpeg,REAL,0.3496,0.1208,0.0493,0.1421,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (14).jpeg,REAL,0.1493,0.7722,0.7886,0.3503,REAL,AI,AI,REAL,False,True,True
WhatsApp Image 2026-09-17 at 3.44.11 PM (15).jpeg,REAL,0.1645,0.046,0.0068,0.1375,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (2).jpeg,REAL,0.0001,0.0002,0.0,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (3).jpeg,REAL,0.5136,0.6269,0.8325,0.8999,AI,AI,AI,AI,False,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (4).jpeg,REAL,0.0,0.0,0.0,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (5).jpeg,REAL,0.1712,0.3435,0.4397,0.2954,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (7).jpeg,REAL,0.0073,0.0003,0.0,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM (8).jpeg,REAL,0.0468,0.0054,0.0005,0.0021,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.44.11 PM.jpeg,REAL,0.0073,0.0164,0.005,0.0004,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.50.51 PM.jpeg,AI,0.239,0.0169,0.0023,0.2573,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.56.02 PM (1).jpeg,AI,0.0686,0.0104,0.0014,0.005,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.56.02 PM (2).jpeg,AI,0.18,0.0898,0.0394,0.2942,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 3.56.02 PM (3).jpeg,AI,0.7363,0.9882,0.9985,0.9985,AI,AI,AI,AI,False,False,False
WhatsApp Image 2026-09-17 at 3.56.02 PM.jpeg,AI,0.0796,0.6093,0.6221,0.0792,REAL,AI,AI,REAL,False,True,True
WhatsApp Image 2026-09-17 at 4.13.17 PM (1).jpeg,AI,0.0029,0.0001,0.0,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.13.17 PM (2).jpeg,AI,0.805,0.8664,0.9888,0.998,AI,AI,AI,AI,False,False,False
WhatsApp Image 2026-09-17 at 4.13.17 PM (3).jpeg,AI,0.7318,0.9281,0.9858,0.979,AI,AI,AI,AI,False,False,False
WhatsApp Image 2026-09-17 at 4.13.17 PM (4).jpeg,AI,0.1699,0.1014,0.0161,0.0119,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.13.17 PM (5).jpeg,AI,0.5517,0.9789,0.9917,0.9844,AI,AI,AI,AI,False,False,False
WhatsApp Image 2026-09-17 at 4.13.17 PM.jpeg,AI,0.0001,0.0001,0.0,0.0,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.13.18 PM (1).jpeg,AI,0.678,0.9209,0.9854,0.9868,AI,AI,AI,AI,False,False,False
WhatsApp Image 2026-09-17 at 4.13.18 PM (2).jpeg,AI,0.1694,0.981,0.9912,0.4387,REAL,AI,AI,REAL,False,True,True
WhatsApp Image 2026-09-17 at 4.13.18 PM (3).jpeg,AI,0.2781,0.8544,0.9849,0.9468,REAL,AI,AI,AI,True,False,False
WhatsApp Image 2026-09-17 at 4.13.18 PM (4).jpeg,AI,0.0566,0.113,0.0251,0.0034,REAL,REAL,REAL,REAL,False,False,False
WhatsApp Image 2026-09-17 at 4.13.18 PM (5).jpeg,AI,0.9235,0.9998,1.0,1.0,AI,AI,AI,AI,False,False,False
WhatsApp Image 2026-09-17 at 4.13.18 PM (6).jpeg,AI,0.6134,0.8442,0.9795,0.8979,AI,AI,AI,AI,False,False,False
