filename,ground_truth,pred_e6c,prob_e6c,pred_e15,prob_e15,disagreement,transition_type
WhatsApp Image 2026-09-17 at 3.50.51 PM.jpeg,AI,Real,0.2390,AI,0.6147,True,AI -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 3.56.02 PM (1).jpeg,AI,Real,0.0688,Real,0.1791,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.56.02 PM (2).jpeg,AI,Real,0.1803,Real,0.3489,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 3.56.02 PM (3).jpeg,AI,AI,0.7329,AI,0.6743,False,AI -> E6C:AI / E15:AI
WhatsApp Image 2026-09-17 at 3.56.02 PM.jpeg,AI,Real,0.0779,Real,0.4375,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.13.17 PM (1).jpeg,AI,Real,0.0029,Real,0.0912,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.13.17 PM (2).jpeg,AI,AI,0.8042,AI,0.8945,False,AI -> E6C:AI / E15:AI
WhatsApp Image 2026-09-17 at 4.13.17 PM (3).jpeg,AI,AI,0.7314,AI,0.9551,False,AI -> E6C:AI / E15:AI
WhatsApp Image 2026-09-17 at 4.13.17 PM (4).jpeg,AI,Real,0.1692,Real,0.4697,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.13.17 PM (5).jpeg,AI,AI,0.5542,AI,0.8984,False,AI -> E6C:AI / E15:AI
WhatsApp Image 2026-09-17 at 4.13.17 PM.jpeg,AI,Real,0.0001,Real,0.0127,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.13.18 PM (1).jpeg,AI,AI,0.6787,AI,0.7969,False,AI -> E6C:AI / E15:AI
WhatsApp Image 2026-09-17 at 4.13.18 PM (2).jpeg,AI,Real,0.1647,AI,0.5635,True,AI -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 4.13.18 PM (3).jpeg,AI,Real,0.2776,AI,0.8354,True,AI -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 4.13.18 PM (4).jpeg,AI,Real,0.0561,AI,0.6108,True,AI -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 4.13.18 PM (5).jpeg,AI,AI,0.9243,AI,0.9829,False,AI -> E6C:AI / E15:AI
WhatsApp Image 2026-09-17 at 4.13.18 PM (6).jpeg,AI,AI,0.6187,AI,0.9282,False,AI -> E6C:AI / E15:AI
WhatsApp Image 2026-09-17 at 4.13.18 PM.jpeg,AI,Real,0.4763,AI,0.7207,True,AI -> E6C:Real / E15:AI
WhatsApp Image 2026-09-17 at 4.28.11 PM (1).jpeg,AI,AI,0.5713,AI,0.6479,False,AI -> E6C:AI / E15:AI
WhatsApp Image 2026-09-17 at 4.28.11 PM (2).jpeg,AI,Real,0.0048,Real,0.1495,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.28.11 PM (3).jpeg,AI,Real,0.0016,Real,0.0844,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.28.11 PM (4).jpeg,AI,Real,0.0020,Real,0.0559,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.28.11 PM (5).jpeg,AI,Real,0.0845,Real,0.4294,False,AI -> E6C:Real / E15:Real
WhatsApp Image 2026-09-17 at 4.28.11 PM (6).jpeg,AI,Real,0.3237,AI,0.5688,True,AI -> E6C:Real / E15:AI
