filename,ground_truth,group_label,prob_e6c,prob_e15,width,height,aspect_ratio,file_size,format,color_mode,est_jpeg_q,has_exif,has_icc,laplacian_var,edge_density,blockiness,hf_energy,entropy,mean_r,mean_g,mean_b,std_lum
WhatsApp Image 2026-09-17 at 3.50.51 PM.jpeg,AI,AI_TP,0.239013671875,0.61474609375,592,1280,2.1621621621621623,128613,JPEG,RGB,75,False,False,365.431129063353,0.13124868032094594,1.1428166713907997,0.003233234664105946,7.75864057739259,162.5717971389358,149.69922930743243,104.96425121410473,59.4568274310104
WhatsApp Image 2026-09-17 at 3.56.02 PM (1).jpeg,AI,AI_FN,0.06878662109375,0.1790771484375,1280,720,0.5625,132013,JPEG,RGB,75,False,False,458.74262910769306,0.064189453125,1.2705323719407073,0.005287534736951414,7.704890595481858,86.64100043402777,97.20603298611111,113.30861653645833,60.44157555012406
WhatsApp Image 2026-09-17 at 3.56.02 PM (2).jpeg,AI,AI_FN,0.1802978515625,0.348876953125,592,1280,2.1621621621621623,98106,JPEG,RGB,75,False,False,558.6540275667356,0.06268343538851351,1.1684888763809984,0.006242650554519363,7.539657599983701,121.23983847128379,97.82067277238176,71.58456899282095,59.39200693752141
WhatsApp Image 2026-09-17 at 3.56.02 PM (3).jpeg,AI,AI_TP,0.73291015625,0.67431640625,719,1280,1.7802503477051461,86997,JPEG,RGB,75,False,False,157.06394026434762,0.025888821279554938,1.3451175493104501,0.001419725824458111,7.807651130497188,135.65362917246176,122.20767667767733,110.77149795723227,64.07212431415013
WhatsApp Image 2026-09-17 at 3.56.02 PM.jpeg,AI,AI_FN,0.07794189453125,0.4375,592,1280,2.1621621621621623,68497,JPEG,RGB,75,False,False,155.40843653417485,0.03368876689189189,1.2258177799615217,0.0024196933806953573,7.018294821522634,108.43624102618243,96.40993058488176,86.12515704180743,76.56283503837322
WhatsApp Image 2026-09-17 at 4.13.17 PM (1).jpeg,AI,AI_FN,0.0028896331787109375,0.09124755859375,720,1280,1.7777777777777777,165827,JPEG,RGB,75,False,False,1535.9460744786852,0.11814995659722222,1.1572361434230032,0.010182569621878768,7.656829548420406,115.33689019097223,122.18605685763889,129.17920030381944,50.96010757151806
WhatsApp Image 2026-09-17 at 4.13.17 PM (2).jpeg,AI,AI_TP,0.80419921875,0.89453125,720,1280,1.7777777777777777,141406,JPEG,RGB,75,False,False,1330.7864029585471,0.08575846354166666,1.1413500983923164,0.02150436827334825,7.319248784233986,72.11572591145833,66.52743055555555,68.55396592881945,56.24061905685758
WhatsApp Image 2026-09-17 at 4.13.17 PM (3).jpeg,AI,AI_TP,0.7314453125,0.955078125,960,1280,1.3333333333333333,213715,JPEG,RGB,75,False,False,1063.0515502927296,0.1220849609375,1.1842439817556878,0.009669127866658446,7.504216418909259,87.07518961588542,97.33258626302083,106.23799397786458,47.40324828592739
WhatsApp Image 2026-09-17 at 4.13.17 PM (4).jpeg,AI,AI_FN,0.169189453125,0.4697265625,960,1280,1.3333333333333333,153275,JPEG,RGB,75,False,False,552.1156484035486,0.06556070963541667,1.235433295889351,0.0027528395412262418,7.684388503198789,142.33493896484376,124.7614892578125,101.96779866536458,52.50512408115176
WhatsApp Image 2026-09-17 at 4.13.17 PM (5).jpeg,AI,AI_TP,0.55419921875,0.8984375,720,1280,1.7777777777777777,96765,JPEG,RGB,75,False,False,248.5912102034663,0.034412977430555554,1.30163052498211,0.00196618440218248,7.821089622142651,138.80530924479166,114.75702907986111,95.22223307291667,62.0431250418851
