dataset,image_id,filepath,label,generator,device_family,degradation_type,prob_e6c,pred_e6c,correct_e6c,prob_e20,pred_e20,correct_e20,transition
E14_Clean,real_raise_135_r11850456t,data/final_external_pool/real/real_raise_135_r11850456t.png,Real,camera,RAISE-1k,clean,0.955078125,1,0,0.038909912109375,0,1,E6C_wrong__E20_correct
E14_Clean,real_raise_supp_026_r0dd6e8f4t,data/final_external_pool/real/real_raise_supp_026_r0dd6e8f4t.png,Real,camera,RAISE-1k,clean,0.85009765625,1,0,0.0094146728515625,0,1,E6C_wrong__E20_correct
E14_Clean,ai_sb_stable-diffusion-1-3_154_r0372042dt,data/final_external_pool/ai/ai_sb_stable-diffusion-1-3_154_r0372042dt.png,AI,stable-diffusion-1-3,Synthbuster,clean,0.88037109375,1,1,0.324951171875,0,0,E6C_correct__E20_wrong
E14_Clean,ai_sb_firefly_065_r045be2act,data/final_external_pool/ai/ai_sb_firefly_065_r045be2act.png,AI,firefly,Synthbuster,clean,0.09771728515625,0,0,0.00482940673828125,0,0,E6C_wrong__E20_wrong
E14_Clean,ai_sb_stable-diffusion-1-3_161_r0a9384b1t,data/final_external_pool/ai/ai_sb_stable-diffusion-1-3_161_r0a9384b1t.png,AI,stable-diffusion-1-3,Synthbuster,clean,0.97998046875,1,1,0.0142822265625,0,0,E6C_correct__E20_wrong
E14_Clean,ai_sb_stable-diffusion-1-4_188_r07cfb432t,data/final_external_pool/ai/ai_sb_stable-diffusion-1-4_188_r07cfb432t.png,AI,stable-diffusion-1-4,Synthbuster,clean,0.9970703125,1,1,0.09466552734375,0,0,E6C_correct__E20_wrong
E14_Clean,real_raise_115_r0f24ca4dt,data/final_external_pool/real/real_raise_115_r0f24ca4dt.png,Real,camera,RAISE-1k,clean,0.90283203125,1,0,0.03460693359375,0,1,E6C_wrong__E20_correct
E14_Clean,ai_sb_stable-diffusion-1-3_166_r102b4aa4t,data/final_external_pool/ai/ai_sb_stable-diffusion-1-3_166_r102b4aa4t.png,AI,stable-diffusion-1-3,Synthbuster,clean,0.9326171875,1,1,0.006313323974609375,0,0,E6C_correct__E20_wrong
E14_Clean,ai_sb_dalle2_029_r1d9a31fct,data/final_external_pool/ai/ai_sb_dalle2_029_r1d9a31fct.png,AI,dalle2,Synthbuster,clean,0.1473388671875,0,0,0.040771484375,0,0,E6C_wrong__E20_wrong
E14_Clean,ai_sb_firefly_087_r1bdb6385t,data/final_external_pool/ai/ai_sb_firefly_087_r1bdb6385t.png,AI,firefly,Synthbuster,clean,0.8837890625,1,1,0.02655029296875,0,0,E6C_correct__E20_wrong
E14_Clean,ai_sb_midjourney-v5_147_r1bdb6385t,data/final_external_pool/ai/ai_sb_midjourney-v5_147_r1bdb6385t.png,AI,midjourney-v5,Synthbuster,clean,0.8916015625,1,1,0.1827392578125,0,0,E6C_correct__E20_wrong
E14_Clean,real_raise_043_r057282fet,data/final_external_pool/real/real_raise_043_r057282fet.png,Real,camera,RAISE-1k,clean,0.96337890625,1,0,0.4580078125,0,1,E6C_wrong__E20_correct
E14_Clean,real_raise_supp_035_r12cbfb1et,data/final_external_pool/real/real_raise_supp_035_r12cbfb1et.png,Real,camera,RAISE-1k,clean,0.77490234375,1,0,0.0150146484375,0,1,E6C_wrong__E20_correct
E14_Clean,ai_sb_firefly_068_r07cfb432t,data/final_external_pool/ai/ai_sb_firefly_068_r07cfb432t.png,AI,firefly,Synthbuster,clean,0.4033203125,0,0,0.280517578125,0,0,E6C_wrong__E20_wrong
E14_Clean,ai_sb_firefly_069_r08996953t,data/final_external_pool/ai/ai_sb_firefly_069_r08996953t.png,AI,firefly,Synthbuster,clean,0.371826171875,0,0,0.06793212890625,0,0,E6C_wrong__E20_wrong
E14_Clean,ai_sb_dalle2_003_r026b5360t,data/final_external_pool/ai/ai_sb_dalle2_003_r026b5360t.png,AI,dalle2,Synthbuster,clean,0.8720703125,1,1,0.254638671875,0,0,E6C_correct__E20_wrong
E14_Clean,ai_sb_firefly_075_r0f5beb66t,data/final_external_pool/ai/ai_sb_firefly_075_r0f5beb66t.png,AI,firefly,Synthbuster,clean,0.0174407958984375,0,0,0.00307464599609375,0,0,E6C_wrong__E20_wrong
E14_Clean,ai_sb_midjourney-v5_146_r1ad2de34t,data/final_external_pool/ai/ai_sb_midjourney-v5_146_r1ad2de34t.png,AI,midjourney-v5,Synthbuster,clean,0.880859375,1,1,0.043121337890625,0,0,E6C_correct__E20_wrong
E14_Clean,ai_sb_stable-diffusion-2_231_r159d3942t,data/final_external_pool/ai/ai_sb_stable-diffusion-2_231_r159d3942t.png,AI,stable-diffusion-2,Synthbuster,clean,0.105224609375,0,0,0.182373046875,0,0,E6C_wrong__E20_wrong
E14_Clean,real_raise_110_r0ea0825ft,data/final_external_pool/real/real_raise_110_r0ea0825ft.png,Real,camera,RAISE-1k,clean,0.01094818115234375,0,1,0.650390625,1,0,E6C_correct__E20_wrong
E14_Clean,ai_sb_glide_109_r138ad247t,data/final_external_pool/ai/ai_sb_glide_109_r138ad247t.png,AI,glide,Synthbuster,clean,0.483154296875,0,0,0.2335205078125,0,0,E6C_wrong__E20_wrong
E14_Clean,ai_sb_stable-diffusion-1-4_192_r0b7b1156t,data/final_external_pool/ai/ai_sb_stable-diffusion-1-4_192_r0b7b1156t.png,AI,stable-diffusion-1-4,Synthbuster,clean,0.85498046875,1,1,0.302001953125,0,0,E6C_correct__E20_wrong
E14_Clean,real_raise_230_r1d00d8ect,data/final_external_pool/real/real_raise_230_r1d00d8ect.png,Real,camera,RAISE-1k,clean,0.7529296875,1,0,0.034942626953125,0,1,E6C_wrong__E20_correct
E14_Clean,ai_sb_stable-diffusion-1-3_179_r1d9a31fct,data/final_external_pool/ai/ai_sb_stable-diffusion-1-3_179_r1d9a31fct.png,AI,stable-diffusion-1-3,Synthbuster,clean,0.0248870849609375,0,0,0.0016679763793945312,0,0,E6C_wrong__E20_wrong
