group_field,group_value,n,n_real,n_ai,e6c_acc,e20_acc,acc_delta,e6c_f1,e20_f1,f1_delta,e6c_recall,e20_recall,e6c_fpr,e20_fpr,e6c_auc,e20_auc,dataset
generator,camera,100,100,0,0.77,0.96,0.18999999999999995,0.0,0.0,0.0,,,0.23,0.04,,,E14_Clean
generator,dalle2,14,0,14,0.42857142857142855,0.14285714285714285,-0.2857142857142857,0.6,0.25,-0.35,0.42857142857142855,0.14285714285714285,,,,,E14_Clean
generator,dalle3,6,0,6,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,,E14_Clean
generator,firefly,14,0,14,0.42857142857142855,0.21428571428571427,-0.21428571428571427,0.6,0.35294117647058826,-0.24705882352941172,0.42857142857142855,0.21428571428571427,,,,,E14_Clean
generator,glide,13,0,13,0.9230769230769231,0.38461538461538464,-0.5384615384615385,0.9600000000000001,0.5555555555555556,-0.4044444444444445,0.9230769230769231,0.38461538461538464,,,,,E14_Clean
generator,midjourney-v5,12,0,12,0.9166666666666666,0.6666666666666666,-0.25,0.9565217391304348,0.8,-0.15652173913043477,0.9166666666666666,0.6666666666666666,,,,,E14_Clean
generator,stable-diffusion-1-3,14,0,14,0.7142857142857143,0.14285714285714285,-0.5714285714285714,0.8333333333333333,0.25,-0.5833333333333333,0.7142857142857143,0.14285714285714285,,,,,E14_Clean
generator,stable-diffusion-1-4,12,0,12,1.0,0.3333333333333333,-0.6666666666666667,1.0,0.5,-0.5,1.0,0.3333333333333333,,,,,E14_Clean
generator,stable-diffusion-2,15,0,15,0.7333333333333333,0.26666666666666666,-0.4666666666666666,0.846153846153846,0.4210526315789474,-0.42510121457489863,0.7333333333333333,0.26666666666666666,,,,,E14_Clean
device_family,RAISE-1k,100,100,0,0.77,0.96,0.18999999999999995,0.0,0.0,0.0,,,0.23,0.04,,,E14_Clean
device_family,Synthbuster,100,0,100,0.74,0.34,-0.39999999999999997,0.8505747126436781,0.5074626865671642,-0.3431120260765139,0.74,0.34,,,,,E14_Clean
degradation_type,clean,200,100,100,0.755,0.65,-0.10499999999999998,0.7512690355329948,0.4927536231884058,-0.258515412344589,0.74,0.34,0.23,0.04,0.84265,0.77655,E14_Clean
generator,camera,300,300,0,0.88,0.9633333333333334,0.08333333333333337,0.0,0.0,0.0,,,0.12,0.03666666666666667,,,E14_Degraded
generator,dalle2,42,0,42,0.21428571428571427,0.14285714285714285,-0.07142857142857142,0.35294117647058826,0.25,-0.10294117647058826,0.21428571428571427,0.14285714285714285,,,,,E14_Degraded
generator,dalle3,18,0,18,0.8333333333333334,0.7222222222222222,-0.11111111111111116,0.9090909090909091,0.8387096774193548,-0.0703812316715543,0.8333333333333334,0.7222222222222222,,,,,E14_Degraded
generator,firefly,42,0,42,0.2857142857142857,0.21428571428571427,-0.07142857142857142,0.4444444444444445,0.35294117647058826,-0.09150326797385622,0.2857142857142857,0.21428571428571427,,,,,E14_Degraded
generator,glide,39,0,39,0.41025641025641024,0.3076923076923077,-0.10256410256410253,0.5818181818181819,0.47058823529411764,-0.11122994652406426,0.41025641025641024,0.3076923076923077,,,,,E14_Degraded
generator,midjourney-v5,36,0,36,0.5,0.5555555555555556,0.05555555555555558,0.6666666666666666,0.7142857142857143,0.04761904761904767,0.5,0.5555555555555556,,,,,E14_Degraded
generator,stable-diffusion-1-3,42,0,42,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.4444444444444445,0.25,-0.19444444444444448,0.2857142857142857,0.14285714285714285,,,,,E14_Degraded
