dataset,image_id,label,prob_e6c,prob_e20,prob_e21,e20_vs_e21_transition,e6c_vs_e21_transition,generator,device_family
E14_Clean,real_raise_135_r11850456t,Real,0.955078125,0.038909912109375,0.83837890625,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,real_raise_122_r0fbe1b0ft,Real,0.0001398324966430664,0.47802734375,0.0147857666015625,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,real_raise_supp_026_r0dd6e8f4t,Real,0.85009765625,0.0094146728515625,0.97314453125,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_stable-diffusion-1-3_154_r0372042dt,AI,0.88037109375,0.324951171875,0.97412109375,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-3,Synthbuster
E14_Clean,ai_sb_firefly_065_r045be2act,AI,0.09771728515625,0.00482940673828125,0.60009765625,PREV_wrong__CURR_correct,PREV_wrong__CURR_correct,firefly,Synthbuster
E14_Clean,ai_sb_stable-diffusion-1-3_161_r0a9384b1t,AI,0.97998046875,0.0142822265625,0.970703125,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-3,Synthbuster
E14_Clean,ai_sb_firefly_064_r0372042dt,AI,0.96630859375,0.734375,0.9951171875,PREV_correct__CURR_correct,PREV_correct__CURR_correct,firefly,Synthbuster
E14_Clean,real_raise_053_r06b161adt,Real,0.0029811859130859375,0.03662109375,0.7333984375,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_stable-diffusion-1-4_188_r07cfb432t,AI,0.9970703125,0.09466552734375,0.83740234375,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-4,Synthbuster
E14_Clean,real_raise_115_r0f24ca4dt,Real,0.90283203125,0.03460693359375,0.88232421875,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_supp_stable-diffusion-1-4_019_r001d260dt,AI,0.9072265625,0.70947265625,0.7255859375,PREV_correct__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-4,Synthbuster
E14_Clean,real_raise_150_r1378de81t,Real,0.0831298828125,0.00661468505859375,0.50732421875,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_stable-diffusion-1-3_166_r102b4aa4t,AI,0.9326171875,0.006313323974609375,0.96435546875,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-3,Synthbuster
E14_Clean,real_raise_036_r04989a70t,Real,6.604194641113281e-05,0.0054473876953125,0.1195068359375,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,ai_sb_dalle2_029_r1d9a31fct,AI,0.1473388671875,0.040771484375,0.68994140625,PREV_wrong__CURR_correct,PREV_wrong__CURR_correct,dalle2,Synthbuster
E14_Clean,real_raise_supp_005_r02513d19t,Real,0.005062103271484375,0.0016489028930664062,0.1337890625,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,ai_sb_firefly_087_r1bdb6385t,AI,0.8837890625,0.02655029296875,0.95751953125,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,firefly,Synthbuster
E14_Clean,real_raise_250_r1f4a44a7t,Real,0.1885986328125,0.0030040740966796875,0.583984375,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_midjourney-v5_147_r1bdb6385t,AI,0.8916015625,0.1827392578125,0.8974609375,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,midjourney-v5,Synthbuster
E14_Clean,real_raise_043_r057282fet,Real,0.96337890625,0.4580078125,0.99169921875,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,real_raise_092_r0b755540t,Real,0.251708984375,0.14453125,0.71533203125,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,real_raise_supp_035_r12cbfb1et,Real,0.77490234375,0.0150146484375,0.69287109375,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_stable-diffusion-1-3_160_r09a60f63t,AI,0.68408203125,0.5732421875,0.82470703125,PREV_correct__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-3,Synthbuster
E14_Clean,ai_sb_dalle3_059_r1d9a31fct,AI,0.98583984375,0.96923828125,0.9990234375,PREV_correct__CURR_correct,PREV_correct__CURR_correct,dalle3,Synthbuster
E14_Clean,ai_sb_glide_091_r000da54ft,AI,0.95947265625,0.572265625,0.84814453125,PREV_correct__CURR_correct,PREV_correct__CURR_correct,glide,Synthbuster
E14_Clean,ai_sb_firefly_068_r07cfb432t,AI,0.4033203125,0.280517578125,0.8330078125,PREV_wrong__CURR_correct,PREV_wrong__CURR_correct,firefly,Synthbuster
E14_Clean,real_raise_046_r05db7e7ft,Real,0.0173797607421875,0.0007181167602539062,0.304931640625,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,ai_sb_firefly_069_r08996953t,AI,0.371826171875,0.06793212890625,0.95849609375,PREV_wrong__CURR_correct,PREV_wrong__CURR_correct,firefly,Synthbuster
E14_Clean,real_raise_supp_004_r01d0b83bt,Real,0.0489501953125,0.036285400390625,0.44189453125,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,ai_sb_midjourney-v5_130_r09a60f63t,AI,0.94140625,0.99267578125,0.94384765625,PREV_correct__CURR_correct,PREV_correct__CURR_correct,midjourney-v5,Synthbuster
E14_Clean,real_raise_191_r18d72ab2t,Real,0.0070953369140625,0.0039005279541015625,0.470947265625,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,real_raise_208_r1aa53167t,Real,0.003223419189453125,0.03167724609375,0.41015625,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,real_raise_202_r1a4651edt,Real,0.004055023193359375,0.009521484375,0.155517578125,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,ai_sb_dalle2_003_r026b5360t,AI,0.8720703125,0.254638671875,0.9345703125,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,dalle2,Synthbuster
E14_Clean,ai_sb_supp_dalle2_002_r002fc3e2t,AI,0.59619140625,0.79541015625,0.99365234375,PREV_correct__CURR_correct,PREV_correct__CURR_correct,dalle2,Synthbuster
E14_Clean,ai_sb_firefly_075_r0f5beb66t,AI,0.0174407958984375,0.00307464599609375,0.18310546875,PREV_wrong__CURR_wrong,PREV_wrong__CURR_wrong,firefly,Synthbuster
E14_Clean,ai_sb_midjourney-v5_146_r1ad2de34t,AI,0.880859375,0.043121337890625,0.84423828125,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,midjourney-v5,Synthbuster
E14_Clean,ai_sb_stable-diffusion-2_231_r159d3942t,AI,0.105224609375,0.182373046875,0.1055908203125,PREV_wrong__CURR_wrong,PREV_wrong__CURR_wrong,stable-diffusion-2,Synthbuster
E14_Clean,real_raise_075_r09851aa4t,Real,0.0033111572265625,0.020294189453125,0.22216796875,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,real_raise_110_r0ea0825ft,Real,0.01094818115234375,0.650390625,0.798828125,PREV_wrong__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_glide_109_r138ad247t,AI,0.483154296875,0.2335205078125,0.99169921875,PREV_wrong__CURR_correct,PREV_wrong__CURR_correct,glide,Synthbuster
E14_Clean,ai_sb_stable-diffusion-1-4_192_r0b7b1156t,AI,0.85498046875,0.302001953125,0.9462890625,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-4,Synthbuster
E14_Clean,real_raise_230_r1d00d8ect,Real,0.7529296875,0.034942626953125,0.82763671875,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_dalle3_056_r1ad2de34t,AI,0.99609375,0.720703125,0.9990234375,PREV_correct__CURR_correct,PREV_correct__CURR_correct,dalle3,Synthbuster
E14_Clean,real_raise_072_r09445479t,Real,0.1546630859375,0.0165252685546875,0.85888671875,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_stable-diffusion-1-3_179_r1d9a31fct,AI,0.0248870849609375,0.0016679763793945312,0.312744140625,PREV_wrong__CURR_wrong,PREV_wrong__CURR_wrong,stable-diffusion-1-3,Synthbuster
E14_Clean,ai_sb_dalle2_010_r09a60f63t,AI,0.96044921875,0.994140625,0.98828125,PREV_correct__CURR_correct,PREV_correct__CURR_correct,dalle2,Synthbuster
E14_Clean,real_raise_supp_050_r1a8ee526t,Real,0.85302734375,0.12127685546875,0.90283203125,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,real_raise_022_r02f1ba48t,Real,0.796875,0.0200958251953125,0.7958984375,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_glide_092_r0150031ft,AI,0.9990234375,0.2802734375,0.96630859375,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,glide,Synthbuster
E14_Clean,real_raise_158_r14289905t,Real,0.3076171875,0.00557708740234375,0.72607421875,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,real_raise_210_r1ae12b3ft,Real,0.00634002685546875,0.2122802734375,0.28515625,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,ai_sb_stable-diffusion-1-4_208_r1c9fdcf4t,AI,0.84619140625,0.0181884765625,0.89990234375,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-4,Synthbuster
E14_Clean,ai_sb_glide_097_r06743f8ft,AI,0.99951171875,0.5986328125,0.92724609375,PREV_correct__CURR_correct,PREV_correct__CURR_correct,glide,Synthbuster
E14_Clean,ai_sb_stable-diffusion-1-3_151_r000da54ft,AI,0.91796875,0.00955963134765625,0.97021484375,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-3,Synthbuster
E14_Clean,ai_sb_firefly_070_r09a60f63t,AI,0.92919921875,0.9921875,0.99267578125,PREV_correct__CURR_correct,PREV_correct__CURR_correct,firefly,Synthbuster
E14_Clean,real_raise_189_r187df69ft,Real,0.11419677734375,0.02386474609375,0.865234375,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_stable-diffusion-2_234_r1900f7c7t,AI,0.0156707763671875,0.00142669677734375,0.90380859375,PREV_wrong__CURR_correct,PREV_wrong__CURR_correct,stable-diffusion-2,Synthbuster
E14_Clean,ai_sb_firefly_088_r1c9fdcf4t,AI,0.818359375,0.348388671875,0.998046875,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,firefly,Synthbuster
E14_Clean,real_raise_180_r173ee7e8t,Real,0.00916290283203125,0.01142120361328125,0.266845703125,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,real_raise_supp_022_r0b3220e1t,Real,0.09893798828125,0.034423828125,0.90966796875,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_stable-diffusion-2_228_r1297fd0bt,AI,0.9423828125,0.9765625,0.99365234375,PREV_correct__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-2,Synthbuster
E14_Clean,ai_sb_stable-diffusion-2_219_r08996953t,AI,0.97607421875,0.156005859375,0.99755859375,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-2,Synthbuster
E14_Clean,ai_sb_stable-diffusion-1-3_171_r159d3942t,AI,0.277099609375,0.0030155181884765625,0.66650390625,PREV_wrong__CURR_correct,PREV_wrong__CURR_correct,stable-diffusion-1-3,Synthbuster
E14_Clean,real_raise_102_r0cfedd72t,Real,0.2247314453125,0.0102081298828125,0.34130859375,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,ai_sb_stable-diffusion-1-4_193_r0cd4ffb0t,AI,0.990234375,0.1959228515625,0.99755859375,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-4,Synthbuster
E14_Clean,real_raise_170_r15f16465t,Real,0.50732421875,0.01812744140625,0.50390625,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_glide_118_r1c9fdcf4t,AI,0.99853515625,0.58203125,0.98291015625,PREV_correct__CURR_correct,PREV_correct__CURR_correct,glide,Synthbuster
E14_Clean,real_raise_097_r0c1f588dt,Real,0.70751953125,0.01107025146484375,0.775390625,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,real_raise_121_r0faffef3t,Real,0.3408203125,0.0816650390625,0.82421875,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_midjourney-v5_138_r1297fd0bt,AI,0.8916015625,0.64697265625,0.544921875,PREV_correct__CURR_correct,PREV_correct__CURR_correct,midjourney-v5,Synthbuster
E14_Clean,real_raise_026_r0372042dt,Real,0.6572265625,0.362548828125,0.84521484375,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_midjourney-v5_133_r0cd4ffb0t,AI,0.70068359375,0.7509765625,0.95654296875,PREV_correct__CURR_correct,PREV_correct__CURR_correct,midjourney-v5,Synthbuster
E14_Clean,real_raise_185_r180bcbd7t,Real,0.0003845691680908203,0.002002716064453125,0.734375,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,real_raise_080_r0a19cb85t,Real,0.002811431884765625,0.00040459632873535156,0.03839111328125,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,ai_sb_stable-diffusion-1-4_187_r06743f8ft,AI,0.93212890625,0.76513671875,0.98876953125,PREV_correct__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-4,Synthbuster
E14_Clean,real_raise_123_r0fdfc4f0t,Real,0.4619140625,0.1124267578125,0.53564453125,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_glide_107_r116825e2t,AI,0.99951171875,0.383056640625,0.98046875,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,glide,Synthbuster
E14_Clean,real_raise_045_r05bf2f53t,Real,0.5078125,0.369140625,0.61962890625,PREV_correct__CURR_wrong,PREV_wrong__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_dalle3_053_r17fe8532t,AI,0.919921875,0.57666015625,0.97900390625,PREV_correct__CURR_correct,PREV_correct__CURR_correct,dalle3,Synthbuster
E14_Clean,ai_sb_stable-diffusion-2_213_r026b5360t,AI,0.74462890625,0.90966796875,0.99658203125,PREV_correct__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-2,Synthbuster
E14_Clean,real_raise_018_r0279b17bt,Real,0.007404327392578125,0.01132965087890625,0.154296875,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,real_raise_055_r0703243bt,Real,0.1383056640625,0.0017547607421875,0.86865234375,PREV_correct__CURR_wrong,PREV_correct__CURR_wrong,camera,RAISE-1k
E14_Clean,ai_sb_firefly_079_r138ad247t,AI,0.0765380859375,0.01751708984375,0.81005859375,PREV_wrong__CURR_correct,PREV_wrong__CURR_correct,firefly,Synthbuster
E14_Clean,ai_sb_firefly_090_r1e9082f9t,AI,0.201171875,0.011871337890625,0.84716796875,PREV_wrong__CURR_correct,PREV_wrong__CURR_correct,firefly,Synthbuster
E14_Clean,ai_sb_stable-diffusion-2_225_r0f5beb66t,AI,0.859375,0.2254638671875,0.966796875,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-2,Synthbuster
E14_Clean,ai_sb_supp_stable-diffusion-1-4_020_r002fc3e2t,AI,0.94287109375,0.0256195068359375,0.95068359375,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,stable-diffusion-1-4,Synthbuster
E14_Clean,real_raise_206_r1a8fe570t,Real,0.049224853515625,0.0025806427001953125,0.2288818359375,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,real_raise_058_r079d086et,Real,0.017578125,3.045797348022461e-05,0.270263671875,PREV_correct__CURR_correct,PREV_correct__CURR_correct,camera,RAISE-1k
E14_Clean,ai_sb_glide_101_r0a9384b1t,AI,0.9970703125,0.040252685546875,0.9736328125,PREV_wrong__CURR_correct,PREV_correct__CURR_correct,glide,Synthbuster
