benchmark,n_samples,model,accuracy,roc_auc,pr_auc,precision,ai_recall,real_fpr,ai_fnr,f1,tp,fp,tn,fn,pct_routed_e20,pct_routed_e21
E14 Clean External,200,E6-C Baseline,0.755,0.84265,0.8492660584027687,0.7628865979381443,0.74,0.23,0.26,0.7512690355329948,74,23,77,26,0.0,0.0
E14 Clean External,200,E20 Baseline,0.65,0.77655,0.7745932253330645,0.8947368421052632,0.34,0.04,0.66,0.4927536231884058,34,4,96,66,100.0,0.0
E14 Clean External,200,E21 Baseline,0.64,0.83695,0.844819412791563,0.5864197530864198,0.95,0.67,0.05,0.7251908396946565,95,67,33,5,0.0,100.0
E14 Clean External,200,E22 Ensemble,0.67,0.8448,0.8426209336792982,0.6118421052631579,0.93,0.59,0.07,0.738095238095238,93,59,41,7,0.0,0.0
E14 Clean External,200,E23 Router (C_E22_blend),0.67,0.8448,0.8426209336792982,0.6118421052631579,0.93,0.59,0.07,0.738095238095238,93,59,41,7,0.0,0.0
E14 Clean External,200,E23 Pure Router (D9_disagree_e21),0.64,0.7686,0.7825317465321093,0.5864197530864198,0.95,0.67,0.05,0.7251908396946565,95,67,33,5,37.0,63.0
E14 Degraded External,600,E6-C Baseline,0.6583333333333333,0.7640055555555556,0.7722784366963309,0.7844311377245509,0.43666666666666665,0.12,0.5633333333333334,0.5610278372591007,131,36,264,169,0.0,0.0
E14 Degraded External,600,E20 Baseline,0.6416666666666667,0.7980166666666667,0.8012935647023274,0.897196261682243,0.32,0.03666666666666667,0.68,0.47174447174447176,96,11,289,204,100.0,0.0
E14 Degraded External,600,E21 Baseline,0.6316666666666667,0.7698888888888888,0.7749204912857368,0.5864332603938731,0.8933333333333333,0.63,0.10666666666666667,0.7080581241743725,268,189,111,32,0.0,100.0
E14 Degraded External,600,E22 Ensemble,0.6516666666666666,0.7817277777777778,0.7918279438999163,0.6041189931350115,0.88,0.5766666666666667,0.12,0.7164179104477613,264,173,127,36,0.0,0.0
E14 Degraded External,600,E23 Router (C_E22_blend),0.6516666666666666,0.7817222222222222,0.7917459692126785,0.6041189931350115,0.88,0.5766666666666667,0.12,0.7164179104477613,264,173,127,36,0.0,0.0
E14 Degraded External,600,E23 Pure Router (D9_disagree_e21),0.6316666666666667,0.7256166666666667,0.7303382362637532,0.5864332603938731,0.8933333333333333,0.63,0.10666666666666667,0.7080581241743725,268,189,111,32,40.666666666666664,59.333333333333336
E19 Smartphone Benchmark,200,E6-C Baseline,0.695,0.78535,0.7704965545422031,0.7746478873239436,0.55,0.16,0.45,0.6432748538011696,55,16,84,45,0.0,0.0
E19 Smartphone Benchmark,200,E20 Baseline,0.865,0.977,0.9708485272539816,0.9866666666666667,0.74,0.01,0.26,0.8457142857142858,74,1,99,26,100.0,0.0
