benchmark,image_id,label,prob_e6c,prob_e20,pred_e20,prob_e21,pred_e21,prob_e22,pred_e22,prob_e23,pred_e23,route_decision_win,prob_e23_pure,pred_e23_pure,route_decision_pure,complementarity_type,e20_vs_e23_transition,e21_vs_e23_transition,generator,device_family,filepath
E14 Clean External,real_raise_135_r11850456t,Real,0.955078,0.038910,0,0.838379,1,0.758432,1,0.758432,1,Blend,0.838379,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_135_r11850456t.png
E14 Clean External,real_raise_122_r0fbe1b0ft,Real,0.000140,0.478027,0,0.014786,0,0.061110,0,0.061110,0,Blend,0.478027,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_122_r0fbe1b0ft.png
E14 Clean External,real_raise_supp_026_r0dd6e8f4t,Real,0.850098,0.009415,0,0.973145,1,0.876772,1,0.876772,1,Blend,0.973145,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_supp_026_r0dd6e8f4t.png
E14 Clean External,ai_sb_stable-diffusion-1-3_154_r0372042dt,AI,0.880371,0.324951,0,0.974121,1,0.909204,1,0.909204,1,Blend,0.974121,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,stable-diffusion-1-3,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-3_154_r0372042dt.png
E14 Clean External,ai_sb_firefly_065_r045be2act,AI,0.097717,0.004829,0,0.600098,1,0.540571,1,0.540571,1,Blend,0.600098,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,firefly,Synthbuster,data/final_external_pool/ai/ai_sb_firefly_065_r045be2act.png
E14 Clean External,ai_sb_stable-diffusion-1-3_161_r0a9384b1t,AI,0.979980,0.014282,0,0.970703,1,0.875061,1,0.875061,1,Blend,0.970703,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,stable-diffusion-1-3,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-3_161_r0a9384b1t.png
E14 Clean External,ai_sb_firefly_064_r0372042dt,AI,0.966309,0.734375,1,0.995117,1,0.969043,1,0.969043,1,Blend,0.734375,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,firefly,Synthbuster,data/final_external_pool/ai/ai_sb_firefly_064_r0372042dt.png
E14 Clean External,real_raise_053_r06b161adt,Real,0.002981,0.036621,0,0.733398,1,0.663721,1,0.663720,1,Blend,0.733398,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_053_r06b161adt.png
E14 Clean External,ai_sb_stable-diffusion-1-4_188_r07cfb432t,AI,0.997070,0.094666,0,0.837402,1,0.763129,1,0.763128,1,Blend,0.837402,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,stable-diffusion-1-4,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-4_188_r07cfb432t.png
E14 Clean External,real_raise_115_r0f24ca4dt,Real,0.902832,0.034607,0,0.882324,1,0.797552,1,0.797552,1,Blend,0.882324,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_115_r0f24ca4dt.png
E14 Clean External,ai_sb_supp_stable-diffusion-1-4_019_r001d260dt,AI,0.907227,0.709473,1,0.725586,1,0.723975,1,0.723975,1,Blend,0.709473,1,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,stable-diffusion-1-4,Synthbuster,data/final_external_pool/ai/ai_sb_supp_stable-diffusion-1-4_019_r001d260dt.png
E14 Clean External,real_raise_150_r1378de81t,Real,0.083130,0.006615,0,0.507324,1,0.457253,0,0.457253,0,Blend,0.507324,1,E21,E20_correct__E21_wrong,E20_correct__E23_correct,E21_wrong__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_150_r1378de81t.png
E14 Clean External,ai_sb_stable-diffusion-1-3_166_r102b4aa4t,AI,0.932617,0.006313,0,0.964355,1,0.868551,1,0.868551,1,Blend,0.964355,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,stable-diffusion-1-3,Synthbuster,data/final_external_pool/ai/ai_sb_stable-diffusion-1-3_166_r102b4aa4t.png
E14 Clean External,real_raise_036_r04989a70t,Real,0.000066,0.005447,0,0.119507,0,0.108101,0,0.108101,0,Blend,0.005447,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_036_r04989a70t.png
E14 Clean External,ai_sb_dalle2_029_r1d9a31fct,AI,0.147339,0.040771,0,0.689941,1,0.625024,1,0.625024,1,Blend,0.689941,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,dalle2,Synthbuster,data/final_external_pool/ai/ai_sb_dalle2_029_r1d9a31fct.png
E14 Clean External,real_raise_supp_005_r02513d19t,Real,0.005062,0.001649,0,0.133789,0,0.120575,0,0.120575,0,Blend,0.001649,0,E20,both_correct,E20_correct__E23_correct,E21_correct__E23_correct,camera,RAISE-1k,data/final_external_pool/real/real_raise_supp_005_r02513d19t.png
E14 Clean External,ai_sb_firefly_087_r1bdb6385t,AI,0.883789,0.026550,0,0.957520,1,0.864423,1,0.864423,1,Blend,0.957520,1,E21,E20_wrong__E21_correct,E20_wrong__E23_correct,E21_correct__E23_correct,firefly,Synthbuster,data/final_external_pool/ai/ai_sb_firefly_087_r1bdb6385t.png
E14 Clean External,real_raise_250_r1f4a44a7t,Real,0.188599,0.003004,0,0.583984,1,0.525886,1,0.525886,1,Blend,0.583984,1,E21,E20_correct__E21_wrong,E20_correct__E23_wrong,E21_wrong__E23_wrong,camera,RAISE-1k,data/final_external_pool/real/real_raise_250_r1f4a44a7t.png
