benchmark,image_id,label,e20_vs_e24_transition,e21_vs_e24_transition,generator,device_family
E14 Clean External,real_raise_135_r11850456t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_122_r0fbe1b0ft,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_supp_026_r0dd6e8f4t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-3_154_r0372042dt,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-3,Synthbuster
E14 Clean External,ai_sb_firefly_065_r045be2act,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,firefly,Synthbuster
E14 Clean External,ai_sb_stable-diffusion-1-3_161_r0a9384b1t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-3,Synthbuster
E14 Clean External,ai_sb_firefly_064_r0372042dt,AI,E20_correct__E24_correct,E21_correct__E24_correct,firefly,Synthbuster
E14 Clean External,real_raise_053_r06b161adt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-4_188_r07cfb432t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,real_raise_115_r0f24ca4dt,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_supp_stable-diffusion-1-4_019_r001d260dt,AI,E20_correct__E24_correct,E21_correct__E24_correct,stable-diffusion-1-4,Synthbuster
E14 Clean External,real_raise_150_r1378de81t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-3_166_r102b4aa4t,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,stable-diffusion-1-3,Synthbuster
E14 Clean External,real_raise_036_r04989a70t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_dalle2_029_r1d9a31fct,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,dalle2,Synthbuster
E14 Clean External,real_raise_supp_005_r02513d19t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_firefly_087_r1bdb6385t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,firefly,Synthbuster
E14 Clean External,real_raise_250_r1f4a44a7t,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_midjourney-v5_147_r1bdb6385t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,midjourney-v5,Synthbuster
E14 Clean External,real_raise_043_r057282fet,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_092_r0b755540t,Real,E20_correct__E24_wrong,E21_wrong__E24_wrong,camera,RAISE-1k
E14 Clean External,real_raise_supp_035_r12cbfb1et,Real,E20_correct__E24_correct,E21_wrong__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_stable-diffusion-1-3_160_r09a60f63t,AI,E20_correct__E24_correct,E21_correct__E24_correct,stable-diffusion-1-3,Synthbuster
E14 Clean External,ai_sb_dalle3_059_r1d9a31fct,AI,E20_correct__E24_correct,E21_correct__E24_correct,dalle3,Synthbuster
E14 Clean External,ai_sb_glide_091_r000da54ft,AI,E20_correct__E24_wrong,E21_correct__E24_wrong,glide,Synthbuster
E14 Clean External,ai_sb_firefly_068_r07cfb432t,AI,E20_wrong__E24_wrong,E21_correct__E24_wrong,firefly,Synthbuster
E14 Clean External,real_raise_046_r05db7e7ft,Real,E20_correct__E24_wrong,E21_correct__E24_wrong,camera,RAISE-1k
E14 Clean External,ai_sb_firefly_069_r08996953t,AI,E20_wrong__E24_correct,E21_correct__E24_correct,firefly,Synthbuster
E14 Clean External,real_raise_supp_004_r01d0b83bt,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,ai_sb_midjourney-v5_130_r09a60f63t,AI,E20_correct__E24_correct,E21_correct__E24_correct,midjourney-v5,Synthbuster
E14 Clean External,real_raise_191_r18d72ab2t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
E14 Clean External,real_raise_208_r1aa53167t,Real,E20_correct__E24_correct,E21_correct__E24_correct,camera,RAISE-1k
