benchmark,n_samples,model,threshold,accuracy,roc_auc,pr_auc,precision,ai_recall,real_fpr,ai_fnr,f1,tp,fp,tn,fn
E14 Clean External,200,E6-C Baseline (tau=0.50),0.5,0.755,0.84265,0.8492660584027687,0.7628865979381443,0.74,0.23,0.26,0.7512690355329948,74,23,77,26
E14 Clean External,200,E20 Baseline (tau=0.50),0.5,0.65,0.77655,0.7745932253330645,0.8947368421052632,0.34,0.04,0.66,0.4927536231884058,34,4,96,66
E14 Clean External,200,E21 Baseline (tau=0.50),0.5,0.64,0.83695,0.844819412791563,0.5864197530864198,0.95,0.67,0.05,0.7251908396946565,95,67,33,5
E14 Clean External,200,E24 Joint Detector (tau=0.50),0.5,0.75,0.85095,0.8506634698475046,0.7403846153846154,0.77,0.27,0.23,0.7549019607843137,77,27,73,23
E14 Clean External,200,E24 Joint Detector (Research tau=0.5),0.5,0.75,0.85095,0.8506634698475046,0.7403846153846154,0.77,0.27,0.23,0.7549019607843137,77,27,73,23
E14 Degraded External,600,E6-C Baseline (tau=0.50),0.5,0.6583333333333333,0.7640055555555556,0.7722784366963309,0.7844311377245509,0.43666666666666665,0.12,0.5633333333333334,0.5610278372591007,131,36,264,169
E14 Degraded External,600,E20 Baseline (tau=0.50),0.5,0.6416666666666667,0.7980166666666667,0.8012935647023274,0.897196261682243,0.32,0.03666666666666667,0.68,0.47174447174447176,96,11,289,204
E14 Degraded External,600,E21 Baseline (tau=0.50),0.5,0.6316666666666667,0.7698888888888888,0.7749204912857368,0.5864332603938731,0.8933333333333333,0.63,0.10666666666666667,0.7080581241743725,268,189,111,32
E14 Degraded External,600,E24 Joint Detector (tau=0.50),0.5,0.745,0.8523833333333334,0.8687731700309114,0.7363344051446945,0.7633333333333333,0.2733333333333333,0.23666666666666666,0.7495908346972177,229,82,218,71
E14 Degraded External,600,E24 Joint Detector (Research tau=0.5),0.5,0.745,0.8523833333333334,0.8687731700309114,0.7363344051446945,0.7633333333333333,0.2733333333333333,0.23666666666666666,0.7495908346972177,229,82,218,71
E19 Smartphone Benchmark,200,E6-C Baseline (tau=0.50),0.5,0.695,0.78535,0.7704965545422031,0.7746478873239436,0.55,0.16,0.45,0.6432748538011696,55,16,84,45
E19 Smartphone Benchmark,200,E20 Baseline (tau=0.50),0.5,0.865,0.977,0.9708485272539816,0.9866666666666667,0.74,0.01,0.26,0.8457142857142858,74,1,99,26
E19 Smartphone Benchmark,200,E21 Baseline (tau=0.50),0.5,0.805,0.88355,0.8851705979198475,0.7563025210084033,0.9,0.29,0.1,0.8219178082191781,90,29,71,10
E19 Smartphone Benchmark,200,E24 Joint Detector (tau=0.50),0.5,0.885,0.95045,0.9507926771758881,0.9230769230769231,0.84,0.07,0.16,0.8795811518324608,84,7,93,16
E19 Smartphone Benchmark,200,E24 Joint Detector (Research tau=0.5),0.5,0.885,0.95045,0.9507926771758881,0.9230769230769231,0.84,0.07,0.16,0.8795811518324608,84,7,93,16
E19 WhatsApp Subset,60,E6-C Baseline (tau=0.50),0.5,0.36666666666666664,0.30444444444444446,0.3746181994770598,0.2777777777777778,0.16666666666666666,0.43333333333333335,0.8333333333333334,0.20833333333333334,5,13,17,25
E19 WhatsApp Subset,60,E20 Baseline (tau=0.50),0.5,0.7333333333333333,0.8911111111111111,0.8686986061514421,0.9375,0.5,0.03333333333333333,0.5,0.6521739130434783,15,1,29,15
E19 WhatsApp Subset,60,E21 Baseline (tau=0.50),0.5,0.6166666666666667,0.6188888888888889,0.616775497407011,0.574468085106383,0.9,0.6666666666666666,0.1,0.7012987012987012,27,20,10,3
E19 WhatsApp Subset,60,E24 Joint Detector (tau=0.50),0.5,0.6666666666666666,0.82,0.8059018765089814,0.7083333333333334,0.5666666666666667,0.23333333333333334,0.43333333333333335,0.6296296296296297,17,7,23,13
E19 WhatsApp Subset,60,E24 Joint Detector (Research tau=0.5),0.5,0.6666666666666666,0.82,0.8059018765089814,0.7083333333333334,0.5666666666666667,0.23333333333333334,0.43333333333333335,0.6296296296296297,17,7,23,13
WhatsApp N=67 Benchmark,67,E6-C Baseline (tau=0.50),0.5,0.6119402985074627,0.6550802139037433,0.6828057835176367,0.8181818181818182,0.2727272727272727,0.058823529411764705,0.7272727272727273,0.4090909090909091,9,2,32,24
WhatsApp N=67 Benchmark,67,E20 Baseline (tau=0.50),0.5,0.5223880597014925,0.5320855614973262,0.5367080428338676,0.52,0.3939393939393939,0.35294117647058826,0.6060606060606061,0.44827586206896547,13,12,22,20
WhatsApp N=67 Benchmark,67,E21 Baseline (tau=0.50),0.5,0.5522388059701493,0.5641711229946524,0.5512257546333469,0.5365853658536586,0.6666666666666666,0.5588235294117647,0.3333333333333333,0.5945945945945946,22,19,15,11
WhatsApp N=67 Benchmark,67,E24 Joint Detector (tau=0.50),0.5,0.5671641791044776,0.5472370766488414,0.5476983940227976,0.5909090909090909,0.3939393939393939,0.2647058823529412,0.6060606060606061,0.4727272727272727,13,9,25,20
WhatsApp N=67 Benchmark,67,E24 Joint Detector (Research tau=0.5),0.5,0.5671641791044776,0.5472370766488414,0.5476983940227976,0.5909090909090909,0.3939393939393939,0.2647058823529412,0.6060606060606061,0.4727272727272727,13,9,25,20
