subgroup_type,group_name,n_samples,metric_type,e6c_metric,e20_metric,e21_metric,e24_metric
E14_Generator,dalle2,14,AI_Recall,42.86%,14.29%,92.86%,64.29%
E14_Generator,dalle3,6,AI_Recall,100.00%,100.00%,100.00%,100.00%
E14_Generator,firefly,14,AI_Recall,42.86%,21.43%,85.71%,57.14%
E14_Generator,glide,13,AI_Recall,92.31%,38.46%,100.00%,53.85%
E14_Generator,midjourney-v5,12,AI_Recall,91.67%,66.67%,100.00%,91.67%
E14_Generator,stable-diffusion-1-3,14,AI_Recall,71.43%,14.29%,92.86%,78.57%
E14_Generator,stable-diffusion-1-4,12,AI_Recall,100.00%,33.33%,100.00%,100.00%
E14_Generator,stable-diffusion-2,15,AI_Recall,73.33%,26.67%,93.33%,86.67%
E19_Device_Family,Apple iPhone (iPhone X),35,Real_FPR,5.71%,0.00%,5.71%,0.00%
E19_Device_Family,"Google Pixel (Pixel 7-9 family, exact model unspecified)",30,Real_FPR,43.33%,3.33%,66.67%,23.33%
E19_Device_Family,Samsung Galaxy (Galaxy S9),35,Real_FPR,2.86%,0.00%,20.00%,0.00%
E19 WhatsApp Subset,AI_Images,30,AI_Recall,16.67%,50.00%,90.00%,56.67%
E19 WhatsApp Subset,Real_Images,30,Real_FPR,43.33%,3.33%,66.67%,23.33%
WhatsApp N=67 Benchmark,AI_Images,33,AI_Recall,27.27%,39.39%,66.67%,39.39%
WhatsApp N=67 Benchmark,Real_Images,34,Real_FPR,5.88%,35.29%,55.88%,26.47%
