image_id,orig_id,full_filepath,label,source_pool,generator,device_family,variant_type,is_legacy_ai,is_modern_ai,is_smartphone_real,is_camera_real,is_compressed
e21_train_ai_0002_clean,e21_train_ai_0002,data\e21_targeted_data\images\train\e21_train_ai_0002_clean.png,AI,E21,Stable Diffusion 1.3,none,clean,1,0,0,0,0
e21_train_ai_0002_resize_jpeg,e21_train_ai_0002,data\e21_targeted_data\images\train\e21_train_ai_0002_resize_jpeg.jpg,AI,E21,Stable Diffusion 1.3,none,resize_jpeg,1,0,0,0,1
e21_train_ai_0002_moderate_jpeg,e21_train_ai_0002,data\e21_targeted_data\images\train\e21_train_ai_0002_moderate_jpeg.jpg,AI,E21,Stable Diffusion 1.3,none,moderate_jpeg,1,0,0,0,1
e21_train_ai_0002_severe_jpeg,e21_train_ai_0002,data\e21_targeted_data\images\train\e21_train_ai_0002_severe_jpeg.jpg,AI,E21,Stable Diffusion 1.3,none,severe_jpeg,1,0,0,0,1
e21_train_ai_0002_sequential_jpeg,e21_train_ai_0002,data\e21_targeted_data\images\train\e21_train_ai_0002_sequential_jpeg.jpg,AI,E21,Stable Diffusion 1.3,none,sequential_jpeg,1,0,0,0,1
e21_train_ai_0002_resize_jpeg_resize,e21_train_ai_0002,data\e21_targeted_data\images\train\e21_train_ai_0002_resize_jpeg_resize.jpg,AI,E21,Stable Diffusion 1.3,none,resize_jpeg_resize,1,0,0,0,1
e21_train_ai_0002_social_media_whatsapp,e21_train_ai_0002,data\e21_targeted_data\images\train\e21_train_ai_0002_social_media_whatsapp.jpg,AI,E21,Stable Diffusion 1.3,none,social_media_whatsapp,1,0,0,0,1
e21_train_ai_0006_clean,e21_train_ai_0006,data\e21_targeted_data\images\train\e21_train_ai_0006_clean.png,AI,E21,Stable Diffusion 1.4,none,clean,1,0,0,0,0
e21_train_ai_0006_resize_jpeg,e21_train_ai_0006,data\e21_targeted_data\images\train\e21_train_ai_0006_resize_jpeg.jpg,AI,E21,Stable Diffusion 1.4,none,resize_jpeg,1,0,0,0,1
e21_train_ai_0006_moderate_jpeg,e21_train_ai_0006,data\e21_targeted_data\images\train\e21_train_ai_0006_moderate_jpeg.jpg,AI,E21,Stable Diffusion 1.4,none,moderate_jpeg,1,0,0,0,1
e21_train_ai_0006_severe_jpeg,e21_train_ai_0006,data\e21_targeted_data\images\train\e21_train_ai_0006_severe_jpeg.jpg,AI,E21,Stable Diffusion 1.4,none,severe_jpeg,1,0,0,0,1
e21_train_ai_0006_sequential_jpeg,e21_train_ai_0006,data\e21_targeted_data\images\train\e21_train_ai_0006_sequential_jpeg.jpg,AI,E21,Stable Diffusion 1.4,none,sequential_jpeg,1,0,0,0,1
e21_train_ai_0006_resize_jpeg_resize,e21_train_ai_0006,data\e21_targeted_data\images\train\e21_train_ai_0006_resize_jpeg_resize.jpg,AI,E21,Stable Diffusion 1.4,none,resize_jpeg_resize,1,0,0,0,1
e21_train_ai_0006_social_media_whatsapp,e21_train_ai_0006,data\e21_targeted_data\images\train\e21_train_ai_0006_social_media_whatsapp.jpg,AI,E21,Stable Diffusion 1.4,none,social_media_whatsapp,1,0,0,0,1
e21_train_ai_0003_clean,e21_train_ai_0003,data\e21_targeted_data\images\train\e21_train_ai_0003_clean.png,AI,E21,OpenAI DALL-E 2,none,clean,1,0,0,0,0
e21_train_ai_0003_resize_jpeg,e21_train_ai_0003,data\e21_targeted_data\images\train\e21_train_ai_0003_resize_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,resize_jpeg,1,0,0,0,1
e21_train_ai_0003_moderate_jpeg,e21_train_ai_0003,data\e21_targeted_data\images\train\e21_train_ai_0003_moderate_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,moderate_jpeg,1,0,0,0,1
e21_train_ai_0003_severe_jpeg,e21_train_ai_0003,data\e21_targeted_data\images\train\e21_train_ai_0003_severe_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,severe_jpeg,1,0,0,0,1
e21_train_ai_0003_sequential_jpeg,e21_train_ai_0003,data\e21_targeted_data\images\train\e21_train_ai_0003_sequential_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,sequential_jpeg,1,0,0,0,1
e21_train_ai_0003_resize_jpeg_resize,e21_train_ai_0003,data\e21_targeted_data\images\train\e21_train_ai_0003_resize_jpeg_resize.jpg,AI,E21,OpenAI DALL-E 2,none,resize_jpeg_resize,1,0,0,0,1
e21_train_ai_0003_social_media_whatsapp,e21_train_ai_0003,data\e21_targeted_data\images\train\e21_train_ai_0003_social_media_whatsapp.jpg,AI,E21,OpenAI DALL-E 2,none,social_media_whatsapp,1,0,0,0,1
e21_train_ai_0008_clean,e21_train_ai_0008,data\e21_targeted_data\images\train\e21_train_ai_0008_clean.png,AI,E21,OpenAI DALL-E 2,none,clean,1,0,0,0,0
e21_train_ai_0008_resize_jpeg,e21_train_ai_0008,data\e21_targeted_data\images\train\e21_train_ai_0008_resize_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,resize_jpeg,1,0,0,0,1
e21_train_ai_0008_moderate_jpeg,e21_train_ai_0008,data\e21_targeted_data\images\train\e21_train_ai_0008_moderate_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,moderate_jpeg,1,0,0,0,1
e21_train_ai_0008_severe_jpeg,e21_train_ai_0008,data\e21_targeted_data\images\train\e21_train_ai_0008_severe_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,severe_jpeg,1,0,0,0,1
e21_train_ai_0008_sequential_jpeg,e21_train_ai_0008,data\e21_targeted_data\images\train\e21_train_ai_0008_sequential_jpeg.jpg,AI,E21,OpenAI DALL-E 2,none,sequential_jpeg,1,0,0,0,1
