weight_e8,weight_e6c,accuracy,roc_auc,pr_auc,precision,recall,f1,fpr,fnr,tp,fp,tn,fn
0.0,1.0,0.9617,0.9936,0.9937,0.9689,0.9528,0.9608,0.0297,0.0472,2707,87,2847,134
0.05,0.95,0.9623,0.9938,0.9939,0.9696,0.9532,0.9613,0.029,0.0468,2708,85,2849,133
0.1,0.9,0.9629,0.9939,0.994,0.9696,0.9546,0.962,0.029,0.0454,2712,85,2849,129
0.15,0.85,0.9635,0.994,0.9941,0.9696,0.9556,0.9626,0.029,0.0444,2715,85,2849,126
0.2,0.8,0.964,0.9941,0.9942,0.9707,0.9556,0.9631,0.0279,0.0444,2715,82,2852,126
0.25,0.75,0.9638,0.9941,0.9942,0.9713,0.9546,0.9629,0.0273,0.0454,2712,80,2854,129
0.3,0.7,0.9633,0.9941,0.9942,0.9703,0.9546,0.9624,0.0283,0.0454,2712,83,2851,129
0.35,0.65,0.9629,0.9941,0.9942,0.971,0.9532,0.962,0.0276,0.0468,2708,81,2853,133
0.4,0.6,0.9629,0.994,0.9941,0.9713,0.9528,0.962,0.0273,0.0472,2707,80,2854,134
0.45,0.55,0.9619,0.994,0.9941,0.9709,0.9511,0.9609,0.0276,0.0489,2702,81,2853,139
0.5,0.5,0.9614,0.9939,0.994,0.9698,0.9511,0.9604,0.0286,0.0489,2702,84,2850,139
0.55,0.45,0.961,0.9938,0.9939,0.9692,0.9511,0.96,0.0293,0.0489,2702,86,2848,139
0.6,0.4,0.9607,0.9937,0.9937,0.9691,0.9504,0.9597,0.0293,0.0496,2700,86,2848,141
0.65,0.35,0.9595,0.9935,0.9936,0.9677,0.9493,0.9584,0.0307,0.0507,2697,90,2844,144
0.7,0.3,0.9588,0.9934,0.9934,0.968,0.9476,0.9577,0.0303,0.0524,2692,89,2845,149
0.75,0.25,0.9576,0.9932,0.9932,0.9666,0.9465,0.9564,0.0317,0.0535,2689,93,2841,152
0.8,0.2,0.9574,0.993,0.993,0.9666,0.9461,0.9562,0.0317,0.0539,2688,93,2841,153
0.85,0.15,0.9564,0.9927,0.9927,0.9658,0.9447,0.9552,0.0324,0.0553,2684,95,2839,157
0.9,0.1,0.9557,0.9924,0.9923,0.9651,0.944,0.9544,0.0331,0.056,2682,97,2837,159
0.95,0.05,0.955,0.9919,0.9919,0.965,0.9426,0.9537,0.0331,0.0574,2678,97,2837,163
1.0,0.0,0.9541,0.9907,0.9909,0.9636,0.9423,0.9528,0.0344,0.0577,2677,101,2833,164
