family,formula,t_low,t_e8,t_extra,accuracy,precision,recall,f1,fpr,fnr,tp,fp,tn,fn
Family_A,IF E6C>=0.50 -> AI; ELIF (E6C>=0.20 AND E8B>=0.55) -> AI; ELSE -> REAL,0.2,0.55,,0.9621,0.9613,0.9616,0.9615,0.0375,0.0384,2732,110,2824,109
Family_A,IF E6C>=0.50 -> AI; ELIF (E6C>=0.20 AND E8B>=0.60) -> AI; ELSE -> REAL,0.2,0.6,,0.9619,0.9626,0.9599,0.9612,0.0361,0.0401,2727,106,2828,114
Family_A,IF E6C>=0.50 -> AI; ELIF (E6C>=0.20 AND E8B>=0.65) -> AI; ELSE -> REAL,0.2,0.65,,0.9616,0.9629,0.9588,0.9608,0.0358,0.0412,2724,105,2829,117
Family_A,IF E6C>=0.50 -> AI; ELIF (E6C>=0.20 AND E8B>=0.70) -> AI; ELSE -> REAL,0.2,0.7,,0.9614,0.9635,0.9578,0.9606,0.0351,0.0422,2721,103,2831,120
Family_A,IF E6C>=0.50 -> AI; ELIF (E6C>=0.20 AND E8B>=0.75) -> AI; ELSE -> REAL,0.2,0.75,,0.9616,0.9642,0.9574,0.9608,0.0344,0.0426,2720,101,2833,121
Family_A,IF E6C>=0.50 -> AI; ELIF (E6C>=0.20 AND E8B>=0.80) -> AI; ELSE -> REAL,0.2,0.8,,0.9617,0.9659,0.956,0.9609,0.0327,0.044,2716,96,2838,125
Family_A,IF E6C>=0.50 -> AI; ELIF (E6C>=0.20 AND E8B>=0.85) -> AI; ELSE -> REAL,0.2,0.85,,0.9616,0.9662,0.9553,0.9607,0.0324,0.0447,2714,95,2839,127
Family_A,IF E6C>=0.50 -> AI; ELIF (E6C>=0.20 AND E8B>=0.90) -> AI; ELSE -> REAL,0.2,0.9,,0.9616,0.9672,0.9542,0.9607,0.0314,0.0458,2711,92,2842,130
Family_A,IF E6C>=0.50 -> AI; ELIF (E6C>=0.20 AND E8B>=0.95) -> AI; ELSE -> REAL,0.2,0.95,,0.9616,0.9678,0.9535,0.9606,0.0307,0.0465,2709,90,2844,132
Family_A,IF E6C>=0.50 -> AI; ELIF (E6C>=0.25 AND E8B>=0.55) -> AI; ELSE -> REAL,0.25,0.55,,0.9626,0.9623,0.9616,0.962,0.0365,0.0384,2732,107,2827,109
