Strategy,Held_Out_Generator,Train_Generators,Train_N,Val_N,Best_Epoch,Val_Accuracy,Val_ROC_AUC,Val_PR_AUC,Val_Precision,Val_Recall,Val_F1,TP,FP,TN,FN
minmax,ADM,GLIDE+SDv5+VQDM+Wukong,16000,1000,4,0.5930,0.7294,0.6897,0.7268,0.2980,0.4227,149,56,444,351
minmax,GLIDE,ADM+SDv5+VQDM+Wukong,16000,1000,8,0.8390,0.9605,0.9510,0.9426,0.7220,0.8177,361,22,478,139
minmax,SDv5,ADM+GLIDE+VQDM+Wukong,16000,1000,10,0.8380,0.9399,0.9389,0.9225,0.7380,0.8200,369,31,469,131
minmax,VQDM,ADM+GLIDE+SDv5+Wukong,16000,1000,4,0.5730,0.7020,0.6939,0.7967,0.1960,0.3146,98,25,475,402
minmax,Wukong,ADM+GLIDE+SDv5+VQDM,16000,1000,10,0.8410,0.9324,0.9336,0.9012,0.7660,0.8281,383,42,458,117
standardize,ADM,GLIDE+SDv5+VQDM+Wukong,16000,1000,8,0.5990,0.7509,0.7607,0.8462,0.2420,0.3764,121,22,478,379
standardize,GLIDE,ADM+SDv5+VQDM+Wukong,16000,1000,6,0.8240,0.9634,0.9582,0.9500,0.6840,0.7953,342,18,482,158
standardize,SDv5,ADM+GLIDE+VQDM+Wukong,16000,1000,10,0.8490,0.9545,0.9544,0.9185,0.7660,0.8353,383,34,466,117
standardize,VQDM,ADM+GLIDE+SDv5+Wukong,16000,1000,7,0.5870,0.7328,0.7251,0.7959,0.2340,0.3617,117,30,470,383
standardize,Wukong,ADM+GLIDE+SDv5+VQDM,16000,1000,10,0.8500,0.9359,0.9364,0.9248,0.7620,0.8355,381,31,469,119
none,ADM,GLIDE+SDv5+VQDM+Wukong,16000,1000,4,0.5780,0.7420,0.7092,0.7910,0.2120,0.3344,106,28,472,394
none,GLIDE,ADM+SDv5+VQDM+Wukong,16000,1000,8,0.8390,0.9470,0.9381,0.9313,0.7320,0.8197,366,27,473,134
none,SDv5,ADM+GLIDE+VQDM+Wukong,16000,1000,10,0.8330,0.9372,0.9372,0.9152,0.7340,0.8147,367,34,466,133
none,VQDM,ADM+GLIDE+SDv5+Wukong,16000,1000,4,0.6040,0.7275,0.7241,0.8377,0.2580,0.3945,129,25,475,371
none,Wukong,ADM+GLIDE+SDv5+VQDM,16000,1000,10,0.8440,0.9307,0.9330,0.9135,0.7600,0.8297,380,36,464,120
